gene_id,cosmic_gene_symbol,ensembl_gene_id,entrez_id,hgnc_id,hgnc_symbol,refseq_id,uniprot_id
SIDG00001,A1BG,ENSG00000121410,1.0,HGNC:5,A1BG,NM_130786,P04217
SIDG00002,,ENSG00000268895,503538.0,HGNC:37133,A1BG-AS1,NR_015380,
SIDG00003,A1CF,ENSG00000148584,29974.0,HGNC:24086,A1CF,NM_014576,Q9NQ94
SIDG00004,A2M,ENSG00000175899,2.0,HGNC:7,A2M,NM_000014,P01023
SIDG00005,,ENSG00000245105,144571.0,HGNC:27057,A2M-AS1,NR_026971,
SIDG00006,A2ML1,ENSG00000166535,144568.0,HGNC:23336,A2ML1,NM_144670,A8K2U0
SIDG00007,,ENSG00000256661,100874108.0,HGNC:41022,A2ML1-AS1,,
SIDG00008,,ENSG00000256904,106478979.0,HGNC:41523,A2ML1-AS2,,
SIDG00009,,ENSG00000256069,3.0,HGNC:8,A2MP1,NG_001067,
SIDG00010,,ENSG00000184389,127550.0,HGNC:30005,A3GALT2,NM_001080438,U3KPV4
SIDG00011,A4GALT,ENSG00000128274,53947.0,HGNC:18149,A4GALT,NM_017436,Q9NPC4
SIDG00012,A4GNT,ENSG00000118017,51146.0,HGNC:17968,A4GNT,NM_016161,Q9UNA3
SIDG00013,,,,HGNC:1,A12M1,,
SIDG00014,,,,HGNC:2,A12M2,,
SIDG00015,,,,HGNC:3,A12M3,,
SIDG00016,,,,HGNC:4,A12M4,,
SIDG00017,AAAS,ENSG00000094914,8086.0,HGNC:13666,AAAS,NM_001173466,Q9NRG9
SIDG00018,,,,HGNC:12,AABT,,
SIDG00019,AACS,ENSG00000081760,65985.0,HGNC:21298,AACS,NM_023928,Q86V21
SIDG00020,,ENSG00000250420,729522.0,HGNC:18226,AACSP1,NR_024035,
SIDG00021,AADAC,ENSG00000114771,13.0,HGNC:17,AADAC,NM_001086,P22760
SIDG00022,AADACL2,ENSG00000197953,344752.0,HGNC:24427,AADACL2,NM_207365,Q6P093
SIDG00023,,ENSG00000242908,101928142.0,HGNC:50301,AADACL2-AS1,NR_110202,
SIDG00024,AADACL3,ENSG00000188984,126767.0,HGNC:32037,AADACL3,NM_001103170,Q5VUY0
SIDG00025,AADACL4,ENSG00000204518,343066.0,HGNC:32038,AADACL4,NM_001013630,Q5VUY2
SIDG00026,,ENSG00000240602,201651.0,HGNC:50305,AADACP1,NR_026915,
SIDG00027,AADAT,ENSG00000109576,51166.0,HGNC:17929,AADAT,NM_016228,Q8N5Z0
SIDG00028,,ENSG00000158122,195827.0,HGNC:16881,AAED1,NM_153698,Q7RTV5
SIDG00029,AAGAB,ENSG00000103591,79719.0,HGNC:25662,AAGAB,NM_024666,Q6PD74
SIDG00030,AAK1,ENSG00000115977,22848.0,HGNC:19679,AAK1,NM_014911,Q2M2I8
SIDG00031,,ENSG00000087884,28971.0,HGNC:30205,AAMDC,NM_024684,Q9H7C9
SIDG00032,AAMP,ENSG00000127837,14.0,HGNC:18,AAMP,NM_001087,Q13685
SIDG00033,AANAT,ENSG00000129673,15.0,HGNC:19,AANAT,NM_001088,Q16613
SIDG00034,,ENSG00000131043,25980.0,HGNC:15886,AAR2,NM_015511,Q9Y312
SIDG00035,,ENSG00000205002,441376.0,HGNC:33842,AARD,NM_001025357,Q4LEZ3
SIDG00036,AARS,ENSG00000090861,16.0,HGNC:20,AARS,NM_001605,P49588
SIDG00037,AARS2,ENSG00000124608,57505.0,HGNC:21022,AARS2,NM_020745,Q5JTZ9
SIDG00038,AARSD1,ENSG00000266967,80755.0,HGNC:28417,AARSD1,NM_001261434,Q9BTE6
SIDG00039,,ENSG00000249038,106480683.0,HGNC:49894,AARSP1,NG_043271,
SIDG00040,AASDH,ENSG00000157426,132949.0,HGNC:23993,AASDH,NM_181806,Q4L235
SIDG00041,AASDHPPT,ENSG00000149313,60496.0,HGNC:14235,AASDHPPT,NM_015423,Q9NRN7
SIDG00042,AASS,ENSG00000008311,10157.0,HGNC:17366,AASS,NM_005763,Q9UDR5
SIDG00043,,ENSG00000215458,284837.0,HGNC:51526,AATBC,NR_026961,
SIDG00044,AATF,ENSG00000275700,26574.0,HGNC:19235,AATF,NM_012138,Q9NY61
SIDG00045,AATK,ENSG00000181409,9625.0,HGNC:21,AATK,NM_004920,Q6ZMQ8
SIDG00046,,,17.0,HGNC:22,AAVS1,,
SIDG00047,,ENSG00000281376,103021294.0,HGNC:49667,ABALON,NR_131907,
SIDG00048,ABAT,ENSG00000183044,18.0,HGNC:23,ABAT,NM_020686,P80404
SIDG00049,ABCA1,ENSG00000165029,19.0,HGNC:29,ABCA1,NM_005502,O95477
SIDG00050,ABCA2,ENSG00000107331,20.0,HGNC:32,ABCA2,NM_001606,Q9BZC7
SIDG00051,ABCA3,ENSG00000167972,21.0,HGNC:33,ABCA3,NM_001089,Q99758
SIDG00052,ABCA4,ENSG00000198691,24.0,HGNC:34,ABCA4,NM_000350,P78363
SIDG00053,ABCA5,ENSG00000154265,23461.0,HGNC:35,ABCA5,NM_018672,Q8WWZ7
SIDG00054,ABCA6,ENSG00000154262,23460.0,HGNC:36,ABCA6,NM_080284,Q8N139
SIDG00055,ABCA7,ENSG00000064687,10347.0,HGNC:37,ABCA7,NM_019112,Q8IZY2
SIDG00056,ABCA8,ENSG00000141338,10351.0,HGNC:38,ABCA8,NM_007168,O94911
SIDG00057,ABCA9,ENSG00000154258,10350.0,HGNC:39,ABCA9,NM_172386,Q8IUA7
SIDG00058,,ENSG00000231749,104355297.0,HGNC:39983,ABCA9-AS1,NR_126414,
SIDG00059,ABCA10,ENSG00000154263,10349.0,HGNC:30,ABCA10,NM_080282,Q8WWZ4
SIDG00060,,ENSG00000251595,79963.0,HGNC:31,ABCA11P,NR_002451.2,Q4W5N1
SIDG00061,ABCA12,ENSG00000144452,26154.0,HGNC:14637,ABCA12,NM_173076,Q86UK0
SIDG00062,ABCA13,ENSG00000179869,154664.0,HGNC:14638,ABCA13,NM_152701,Q86UQ4
SIDG00063,,ENSG00000238098,650655.0,HGNC:32972,ABCA17P,NR_003574,
SIDG00064,ABCB1,ENSG00000085563,5243.0,HGNC:40,ABCB1,NM_000927,P08183
SIDG00065,ABCB4,ENSG00000005471,5244.0,HGNC:45,ABCB4,NM_000443,P21439
SIDG00066,ABCB5,ENSG00000004846,340273.0,HGNC:46,ABCB5,NM_178559,Q2M3G0
SIDG00067,ABCB6,ENSG00000115657,10058.0,HGNC:47,ABCB6,NM_005689,Q9NP58
SIDG00068,ABCB7,ENSG00000131269,22.0,HGNC:48,ABCB7,NM_004299,O75027
SIDG00069,ABCB8,ENSG00000197150,11194.0,HGNC:49,ABCB8,NM_007188,Q9NUT2
SIDG00070,ABCB9,ENSG00000150967,23457.0,HGNC:50,ABCB9,NM_019624,Q9NP78
SIDG00071,ABCB10,ENSG00000135776,23456.0,HGNC:41,ABCB10,NM_012089,Q9NRK6
SIDG00072,,ENSG00000274099,56476.0,HGNC:14114,ABCB10P1,NG_005041,
SIDG00073,,ENSG00000261524,728248.0,HGNC:31129,ABCB10P3,NG_022122,
SIDG00074,,ENSG00000260053,100132289.0,HGNC:31130,ABCB10P4,NG_022102,
SIDG00075,ABCB11,ENSG00000073734,8647.0,HGNC:42,ABCB11,NM_003742,O95342
SIDG00076,ABCC1,ENSG00000103222,4363.0,HGNC:51,ABCC1,NM_004996,P33527
SIDG00077,ABCC2,ENSG00000023839,1244.0,HGNC:53,ABCC2,NM_000392,Q92887
SIDG00078,ABCC3,ENSG00000108846,8714.0,HGNC:54,ABCC3,NM_020038,O15438
SIDG00079,ABCC4,ENSG00000125257,10257.0,HGNC:55,ABCC4,NM_005845,O15439
SIDG00080,ABCC5,ENSG00000114770,10057.0,HGNC:56,ABCC5,NM_005688,O15440
SIDG00081,,ENSG00000223882,100873982.0,HGNC:40055,ABCC5-AS1,NR_046570,
SIDG00082,ABCC6,ENSG00000091262,368.0,HGNC:57,ABCC6,NM_001079528,O95255
SIDG00083,,ENSG00000256340,653190.0,HGNC:33352,ABCC6P1,NR_003569,
SIDG00084,,ENSG00000255277,730013.0,HGNC:33353,ABCC6P2,NR_023387,
SIDG00085,ABCC8,ENSG00000006071,6833.0,HGNC:59,ABCC8,NM_000352,Q09428
SIDG00086,ABCC9,ENSG00000069431,10060.0,HGNC:60,ABCC9,NM_005691,O60706
SIDG00087,ABCC10,ENSG00000124574,89845.0,HGNC:52,ABCC10,NM_033450,Q5T3U5
SIDG00088,ABCC11,ENSG00000121270,85320.0,HGNC:14639,ABCC11,NM_032583,Q96J66
SIDG00089,ABCC12,ENSG00000140798,94160.0,HGNC:14640,ABCC12,NM_033226,Q96J65
SIDG00090,,ENSG00000243064,150000.0,HGNC:16022,ABCC13,NR_003087,Q9NSE7
SIDG00091,ABCD1,ENSG00000101986,215.0,HGNC:61,ABCD1,NM_000033,P33897
SIDG00092,,,23785.0,HGNC:62,ABCD1P1,NG_001246,
SIDG00093,,ENSG00000215151,26983.0,HGNC:63,ABCD1P2,NG_001270,
SIDG00094,,ENSG00000261233,26982.0,HGNC:64,ABCD1P3,NG_001269,
SIDG00095,,ENSG00000225293,26957.0,HGNC:65,ABCD1P4,NG_001265,
SIDG00096,,ENSG00000214330,642762.0,HGNC:42662,ABCD1P5,NG_006974,
SIDG00097,ABCD2,ENSG00000173208,225.0,HGNC:66,ABCD2,NM_005164,Q9UBJ2
SIDG00098,ABCD3,ENSG00000117528,5825.0,HGNC:67,ABCD3,NM_002858,P28288
SIDG00099,ABCD4,ENSG00000119688,5826.0,HGNC:68,ABCD4,NM_005050,O14678
SIDG00100,ABCE1,ENSG00000164163,6059.0,HGNC:69,ABCE1,NM_002940,P61221
SIDG00101,ABCF1,ENSG00000204574,23.0,HGNC:70,ABCF1,NM_001025091,Q8NE71
SIDG00102,,,107986587.0,HGNC:53628,ABCF1-DT,XR_001744078,
SIDG00103,ABCF2,ENSG00000033050,10061.0,HGNC:71,ABCF2,NM_005692,Q9UG63
SIDG00104,,ENSG00000242159,344653.0,HGNC:48841,ABCF2P1,NG_022253,
SIDG00105,,ENSG00000228769,100422059.0,HGNC:48842,ABCF2P2,NG_026596,
SIDG00106,ABCF3,ENSG00000161204,55324.0,HGNC:72,ABCF3,NM_018358,Q9NUQ8
SIDG00107,ABCG1,ENSG00000160179,9619.0,HGNC:73,ABCG1,NM_207174,P45844
SIDG00108,ABCG2,ENSG00000118777,9429.0,HGNC:74,ABCG2,NM_004827,Q9UNQ0
SIDG00109,ABCG4,ENSG00000172350,64137.0,HGNC:13884,ABCG4,NM_022169,Q9H172
SIDG00110,ABCG5,ENSG00000138075,64240.0,HGNC:13886,ABCG5,NM_022436,Q9H222
SIDG00111,ABCG8,ENSG00000143921,64241.0,HGNC:13887,ABCG8,NM_022437,Q9H221
SIDG00112,ABHD1,ENSG00000143994,84696.0,HGNC:17553,ABHD1,NM_032604,Q96SE0
SIDG00113,ABHD2,ENSG00000140526,11057.0,HGNC:18717,ABHD2,NM_007011,P08910
SIDG00114,ABHD3,ENSG00000158201,171586.0,HGNC:18718,ABHD3,NM_001308256,Q8WU67
SIDG00115,ABHD4,ENSG00000100439,63874.0,HGNC:20154,ABHD4,NM_022060,Q8TB40
SIDG00116,ABHD5,ENSG00000011198,51099.0,HGNC:21396,ABHD5,NM_016006,Q8WTS1
SIDG00117,ABHD6,ENSG00000163686,57406.0,HGNC:21398,ABHD6,NM_020676,Q9BV23
SIDG00118,ABHD8,ENSG00000127220,79575.0,HGNC:23759,ABHD8,NM_024527,Q96I13
SIDG00119,ABHD10,ENSG00000144827,55347.0,HGNC:25656,ABHD10,NM_018394,Q9NUJ1
SIDG00120,ABHD11,ENSG00000106077,83451.0,HGNC:16407,ABHD11,NM_001145364,Q8NFV4
SIDG00121,,ENSG00000225969,171022.0,HGNC:18289,ABHD11-AS1,NR_026690,
SIDG00122,,,,HGNC:40012,ABHD11-AS2,,
SIDG00123,ABHD12,ENSG00000100997,26090.0,HGNC:15868,ABHD12,NM_015600,Q8N2K0
SIDG00124,ABHD12B,ENSG00000131969,145447.0,HGNC:19837,ABHD12B,NM_001206673,Q7Z5M8
SIDG00125,ABHD13,ENSG00000139826,84945.0,HGNC:20293,ABHD13,NM_032859,Q7L211
SIDG00126,ABHD14A,ENSG00000248487,25864.0,HGNC:24538,ABHD14A,NM_015407,Q9BUJ0
SIDG00127,,ENSG00000114786,100526760.0,HGNC:38856,ABHD14A-ACY1,NM_001316331,
SIDG00128,ABHD14B,ENSG00000114779,84836.0,HGNC:28235,ABHD14B,NM_032750,Q96IU4
SIDG00129,ABHD15,ENSG00000168792,116236.0,HGNC:26971,ABHD15,NM_198147,Q6UXT9
SIDG00130,,ENSG00000264031,104355133.0,HGNC:49685,ABHD15-AS1,,
SIDG00131,ABHD16A,ENSG00000204427,7920.0,HGNC:13921,ABHD16A,NM_001177515,O95870
SIDG00132,ABHD16B,ENSG00000183260,140701.0,HGNC:16128,ABHD16B,NM_080622,Q9H3Z7
SIDG00133,,ENSG00000129968,81926.0,HGNC:28756,ABHD17A,NM_031213,Q96GS6
SIDG00134,,ENSG00000198658,728917.0,HGNC:28394,ABHD17AP1,NG_011738,
SIDG00135,,ENSG00000250536,648359.0,HGNC:34041,ABHD17AP3,XR_041784,
SIDG00136,,ENSG00000229107,729495.0,HGNC:34042,ABHD17AP4,NG_023156,
SIDG00137,,ENSG00000263366,91219.0,HGNC:34043,ABHD17AP5,NG_000002,
SIDG00138,,ENSG00000226981,644988.0,HGNC:34044,ABHD17AP6,NG_022988,
SIDG00139,,ENSG00000260864,100133212.0,HGNC:38508,ABHD17AP7,NG_022980,
SIDG00140,,ENSG00000260540,647144.0,HGNC:38509,ABHD17AP8,NG_023021,
SIDG00141,,ENSG00000261536,100132251.0,HGNC:38510,ABHD17AP9,NG_028293,
SIDG00142,,ENSG00000107362,51104.0,HGNC:24278,ABHD17B,NM_016014,Q5VST6
SIDG00143,,ENSG00000136379,58489.0,HGNC:26925,ABHD17C,NM_021214,Q6PCB6
SIDG00144,,ENSG00000164074,80167.0,HGNC:26111,ABHD18,NM_001039717,Q0P651
SIDG00145,ABI1,ENSG00000136754,10006.0,HGNC:11320,ABI1,NM_005470,Q8IZP0
SIDG00146,,ENSG00000271484,326268.0,HGNC:20035,ABI1P1,NG_002531,
SIDG00147,ABI2,ENSG00000138443,10152.0,HGNC:24011,ABI2,NM_005759,Q9NYB9
SIDG00148,ABI3,ENSG00000108798,51225.0,HGNC:29859,ABI3,NM_016428,Q9P2A4
SIDG00149,ABI3BP,ENSG00000154175,25890.0,HGNC:17265,ABI3BP,NM_001349329,Q7Z7G0
SIDG00150,ABL1,ENSG00000097007,25.0,HGNC:76,ABL1,NM_007313,P00519
SIDG00151,ABL2,ENSG00000143322,27.0,HGNC:77,ABL2,NM_005158,P42684
SIDG00152,ABLIM1,ENSG00000099204,3983.0,HGNC:78,ABLIM1,NM_001003407,O14639
SIDG00153,ABLIM2,ENSG00000163995,84448.0,HGNC:19195,ABLIM2,NM_001130083,Q6H8Q1
SIDG00154,ABLIM3,ENSG00000173210,22885.0,HGNC:29132,ABLIM3,NM_014945,O94929
SIDG00155,ABO,ENSG00000175164,28.0,HGNC:79,ABO,NM_020469,P16442
SIDG00156,ABR,ENSG00000159842,29.0,HGNC:81,ABR,NM_001092,Q12979
SIDG00157,ABRA,ENSG00000174429,137735.0,HGNC:30655,ABRA,NM_139166,Q8N0Z2
SIDG00158,ABRACL,ENSG00000146386,58527.0,HGNC:21230,ABRACL,NM_021243,Q9P1F3
SIDG00159,,ENSG00000163322,84142.0,HGNC:25829,ABRAXAS1,NM_139076,Q6UWZ7
SIDG00160,,ENSG00000165660,23172.0,HGNC:28975,ABRAXAS2,NM_032182,Q15018
SIDG00161,ABT1,ENSG00000146109,29777.0,HGNC:17369,ABT1,NM_013375,Q9ULW3
SIDG00162,,ENSG00000250496,100420695.0,HGNC:39557,ABT1P1,NG_025142,
SIDG00163,ABTB1,ENSG00000114626,80325.0,HGNC:18275,ABTB1,NM_172027,Q969K4
SIDG00164,ABTB2,ENSG00000166016,25841.0,HGNC:23842,ABTB2,NM_145804,Q8N961
SIDG00165,ACAA1,ENSG00000060971,30.0,HGNC:82,ACAA1,NM_001607,P09110
SIDG00166,ACAA2,ENSG00000167315,10449.0,HGNC:83,ACAA2,NM_006111,P42765
SIDG00167,ACACA,ENSG00000278540,31.0,HGNC:84,ACACA,NM_198836,Q13085
SIDG00168,ACACB,ENSG00000076555,32.0,HGNC:85,ACACB,NM_001093,O00763
SIDG00169,,,,HGNC:86,ACAD,,
SIDG00170,ACAD8,ENSG00000151498,27034.0,HGNC:87,ACAD8,NM_014384,Q9UKU7
SIDG00171,ACAD9,ENSG00000177646,28976.0,HGNC:21497,ACAD9,NM_014049,Q9H845
SIDG00172,ACAD10,ENSG00000111271,80724.0,HGNC:21597,ACAD10,NM_025247,Q6JQN1
SIDG00173,ACAD11,ENSG00000240303,84129.0,HGNC:30211,ACAD11,NM_032169,Q709F0
SIDG00174,ACADL,ENSG00000115361,33.0,HGNC:88,ACADL,NM_001608,P28330
SIDG00175,ACADM,ENSG00000117054,34.0,HGNC:89,ACADM,NM_000016,P11310
SIDG00176,ACADS,ENSG00000122971,35.0,HGNC:90,ACADS,NM_000017,P16219
SIDG00177,ACADSB,ENSG00000196177,36.0,HGNC:91,ACADSB,NM_001609,P45954
SIDG00178,ACADVL,ENSG00000072778,37.0,HGNC:92,ACADVL,NM_000018,P49748
SIDG00179,ACAN,ENSG00000157766,176.0,HGNC:319,ACAN,NM_001135,P16112
SIDG00180,ACAP1,ENSG00000072818,9744.0,HGNC:16467,ACAP1,NM_014716,Q15027
SIDG00181,ACAP2,ENSG00000114331,23527.0,HGNC:16469,ACAP2,NM_012287,Q15057
SIDG00182,,ENSG00000229325,100874306.0,HGNC:41426,ACAP2-IT1,,
SIDG00183,ACAP3,ENSG00000131584,116983.0,HGNC:16754,ACAP3,NM_030649,Q96P50
SIDG00184,ACAT1,ENSG00000075239,38.0,HGNC:93,ACAT1,NM_000019,P24752
SIDG00185,ACAT2,ENSG00000120437,39.0,HGNC:94,ACAT2,NM_005891,Q9BWD1
SIDG00186,ACBD3,ENSG00000182827,64746.0,HGNC:15453,ACBD3,NM_022735,Q9H3P7
SIDG00187,,ENSG00000234478,107985353.0,HGNC:40701,ACBD3-AS1,NR_146443,
SIDG00188,ACBD4,ENSG00000181513,79777.0,HGNC:23337,ACBD4,NM_024722,Q8NC06
SIDG00189,ACBD5,ENSG00000107897,91452.0,HGNC:23338,ACBD5,NM_145698,Q5T8D3
SIDG00190,ACBD6,ENSG00000230124,84320.0,HGNC:23339,ACBD6,NM_032360,Q9BR61
SIDG00191,ACBD7,ENSG00000176244,414149.0,HGNC:17715,ACBD7,NM_001039844,Q8N6N7
SIDG00192,ACCS,ENSG00000110455,84680.0,HGNC:23989,ACCS,NM_032592,Q96QU6
SIDG00193,ACCSL,ENSG00000205126,390110.0,HGNC:34391,ACCSL,NM_001031854,Q4AC99
SIDG00194,ACD,ENSG00000102977,65057.0,HGNC:25070,ACD,NM_022914,Q96AP0
SIDG00195,ACE,ENSG00000159640,1636.0,HGNC:2707,ACE,NM_000789,P12821
SIDG00196,ACE2,ENSG00000130234,59272.0,HGNC:13557,ACE2,NM_021804,Q9BYF1
SIDG00197,,ENSG00000224353,100129123.0,HGNC:44365,ACE3P,NG_016186,
SIDG00198,ACER1,ENSG00000167769,125981.0,HGNC:18356,ACER1,NM_133492,Q8TDN7
SIDG00199,ACER2,ENSG00000177076,340485.0,HGNC:23675,ACER2,NM_001010887,Q5QJU3
SIDG00200,ACER3,ENSG00000078124,55331.0,HGNC:16066,ACER3,NM_018367,Q9NUN7
SIDG00201,ACHE,ENSG00000087085,43.0,HGNC:108,ACHE,NM_015831,P22303
SIDG00202,ACIN1,ENSG00000100813,22985.0,HGNC:17066,ACIN1,NM_014977,Q9UKV3
SIDG00203,,ENSG00000213088,2532.0,HGNC:4035,ACKR1,NM_002036,Q16570
SIDG00204,,ENSG00000144648,1238.0,HGNC:1565,ACKR2,NM_001296,O00590
SIDG00205,,ENSG00000144476,57007.0,HGNC:23692,ACKR3,NM_020311,P25106
SIDG00206,,ENSG00000129048,51554.0,HGNC:1611,ACKR4,NM_016557,Q9NPB9
SIDG00207,,,46.0,HGNC:114,ACLS,,
