n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 HT-144 Zero 49.0 0.658192 0.440829
0 HT-144 BRAF 49.0 0.40315399999999996 0.302235
0 HT-144 PI3K 49.0 0.629392 0.0
1 G-MEL Zero 49.0 0.973643 0.19978
0 HT-144 p53 49.0 1.0 0.764543
1 G-MEL BRAF 49.5 0.019961 0.006853
1 G-MEL PI3K 49.0 0.9766 0.0
1 G-MEL p53 49.0 0.998366 0.216483
2 HCT-116 Zero 49.0 0.9697140000000001 0.898997
2 HCT-116 BRAF 49.0 0.964201 0.887412
2 HCT-116 PI3K 49.0 0.4406 0.0
3 SH-4 Zero 49.0 0.438344 0.188276
2 HCT-116 p53 49.0 0.987779 0.897945
3 SH-4 BRAF 49.0 0.08701600000000001 0.068901
3 SH-4 PI3K 49.0 0.420711 0.0
4 RKO Zero 49.0 1.0 0.9998
3 SH-4 p53 49.0 0.991785 0.420129
4 RKO BRAF 49.0 0.338157 0.304708
5 451Lu Zero 49.0 1.0 0.286198
4 RKO PI3K 49.0 0.517129 0.0
5 451Lu BRAF 49.5 0.059495 0.031325
4 RKO p53 49.0 1.0 1.0
5 451Lu PI3K 49.0 1.0 0.0
5 451Lu p53 49.0 1.0 0.2932
6 SK-MEL-31 Zero 49.0 0.8905689999999999 0.709202
6 SK-MEL-31 BRAF 49.0 0.138103 0.087304
6 SK-MEL-31 PI3K 49.0 0.797514 0.0
7 WT Zero 49.0 0.22551200000000002 0.134116
6 SK-MEL-31 p53 49.0 0.981827 0.773299
8 LoVo Zero 49.0 0.545 0.236561
7 WT BRAF 49.0 0.218288 0.132524
8 LoVo BRAF 49.0 0.33448500000000003 0.241044
8 LoVo PI3K 49.0 0.529158 0.0
7 WT PI3K 49.0 0.149124 0.0
8 LoVo p53 49.0 0.998931 0.435789
9 LB2518-MEL Zero 49.0 0.716695 0.342215
9 LB2518-MEL BRAF 49.0 0.698308 0.319792
7 WT p53 49.0 0.465395 0.264403
9 LB2518-MEL PI3K 49.0 0.286704 0.061598
10 MDST8 Zero 49.0 0.469394 0.195561
9 LB2518-MEL p53 49.0 0.985058 0.446202
10 MDST8 BRAF 49.0 0.096122 0.051778
11 HT-115 Zero 49.0 0.824261 0.77658
10 MDST8 PI3K 49.0 0.461024 0.0
10 MDST8 p53 49.0 0.9934000000000001 0.44044
11 HT-115 BRAF 49.0 0.830929 0.786799
12 SNU-407 Zero 49.0 0.970889 0.950659
11 HT-115 PI3K 49.0 0.553859 0.366559
12 SNU-407 BRAF 49.0 0.97014 0.947946
11 HT-115 p53 49.0 0.837476 0.78099
12 SNU-407 PI3K 49.0 0.527752 0.0
13 HCC2998 Zero 49.0 0.938866 0.887088
12 SNU-407 p53 49.0 0.983064 0.946832
13 HCC2998 BRAF 49.0 0.938234 0.889721
13 HCC2998 PI3K 49.0 0.653178 0.375291
14 SW837 Zero 49.0 0.5784199999999999 0.447716
13 HCC2998 p53 49.0 1.0 0.882333
14 SW837 BRAF 49.0 0.45899999999999996 0.365326
14 SW837 PI3K 49.0 0.731745 0.063161
15 KM12 Zero 49.0 0.190304 0.077797
14 SW837 p53 49.0 0.581923 0.448622
15 KM12 BRAF 49.0 0.17482599999999998 0.081728
15 KM12 PI3K 49.0 0.179398 0.0
16 LS-513 Zero 49.0 0.543371 0.249084
15 KM12 p53 49.0 0.180467 0.070534
16 LS-513 BRAF 49.0 0.305211 0.249971
17 K2 Zero 49.0 0.8916409999999999 0.559488
16 LS-513 PI3K 49.0 0.5359240000000001 0.011943
16 LS-513 p53 49.0 0.968638 0.459066
17 K2 BRAF 49.5 0.066181 0.038927
17 K2 PI3K 49.0 0.857265 0.0
18 SW626 Zero 49.0 0.610838 0.371723
17 K2 p53 49.0 1.0 0.730782
18 SW626 BRAF 49.0 0.532463 0.382793
18 SW626 PI3K 49.0 0.432677 0.012322
19 WM1552C Zero 49.0 0.92066 0.774062
18 SW626 p53 49.0 0.998523 0.569998
19 WM1552C BRAF 49.0 0.31949900000000003 0.299582
19 WM1552C PI3K 49.0 0.921224 0.0
20 IGR-37 Zero 49.0 0.914164 0.395933
19 WM1552C p53 49.0 0.9318449999999999 0.789333
20 IGR-37 BRAF 49.0 0.52838 0.320233
20 IGR-37 PI3K 49.0 0.887642 0.0
21 MZ7-mel Zero 49.0 0.74695 0.223443
20 IGR-37 p53 49.0 1.0 0.4968
21 MZ7-mel BRAF 49.5 0.14815499999999998 0.069617
21 MZ7-mel PI3K 49.0 0.6385000000000001 0.014147
22 SNU-C2B Zero 49.0 1.0 0.843215
21 MZ7-mel p53 49.0 1.0 0.499893
22 SNU-C2B BRAF 49.0 0.9075759999999999 0.846872
22 SNU-C2B PI3K 49.0 0.9998 0.38307
23 SNU-175 Zero 49.0 0.546637 0.336182
22 SNU-C2B p53 49.0 0.9994029999999999 0.838455
23 SNU-175 BRAF 49.0 0.43357599999999996 0.335128
24 IGR-1 Zero 49.0 0.75943 0.362536
23 SNU-175 PI3K 49.0 0.543291 0.101915
