Node	HUGO
AKT	AKT1,AKT2,AKT3
ASK1	MAP3K5
Axin	AXIN1
BAD	BAD
BAX	BAX
BCL2	BCL2
betacatenin	CTNNB1
betaTrCP	BTRC
Caspase37_b1	CASP3,CASP7
Caspase37_b2	
Caspase8	CASP8
Caspase9	CASP9
CCND1_b1	CCND1
CCND1_b2	
CFLAR	CFLAR
CK1	CSNK1A1,CSNK1D,CSNK1E
cMYC	MYC
CytochromeC	CYCS
DKK1	DKK1,DKK2,DKK3,DKK4
DKK1gene	DKK1,DKK2,DKK3,DKK4
DUSP1	DUSP1
DUSP6	DUSP6
Dvl	DVL1,DVL2,DVL3
Egr1	EGR1
ERK	MAPK3,MAPK1
FOXO	FOXO1,FOXO3,FOXO4
Fz	FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,FZD10
GAB	GAB1,GAB2
GRAP2	GRAP2
GRB2	GRB2
GSK3	GSK3A,GSK3B
IKKA	CHUK
IKKB	IKBKB
IRS1	IRS1
ITCH	ITCH
JNK	MAPK8,MAPK9
LEF	LEF1
LRP	LRP5,LRP6
MAP3K8	MAP3K8
MDM2	MDM2
MDM2gene	MDM2
MEK	MAP2K1,MAP2K2
MEKK4	MAP3K4
MKK3	MAP2K3
MKK4	MAP2K4
MKK7	MAP2K7
MLK3	MAP3K11
MMP	MMP2,MMP7,MMP9
MSK	RPS6KA4,RPS6KA5
mTORC1	MTOR,RPTOR,MLST8
mTORC2	MTOR,RICTOR,MLST8
NFkB	RELA,RELB,REL,NFKB1,NFKB2
NLK	NLK
p38alpha	MAPK14
p53	TP53
PDK1	PDPK1
PI3K	PIK3CA
pras40	AKT1S1
PTEN	PTEN
PTENgene	PTEN
Rac	RAC1,RAC2,RAC3
Raf	ARAF,BRAF,RAF1
Ras	KRAS
Rheb	RHEB
RSK	RPS6KA1,RPS6KA2,RPS6KA3
RTPK	EGFR,ERBB2,ERBB3,ERBB4,IGF1R,PDGFRA,PDGFRB,CSF1R,KIT,FLT3,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT4,KDR,MET
RTPKgene	EGFR,ERBB2,ERBB3,ERBB4,IGF1R,PDGFRA,PDGFRB,CSF1R,KIT,FLT3,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT4,KDR,MET
S6K	RPS6KB1,RPS6KB2
SFRP1	SFRP1
SFRP1gene	SFRP1
SHC1	SHC1
SHP2	PTPN11
SOS	SOS1
TAB	TAB1,TAB2
TAK1	MAP3K7
TCF	TCF7,TCF7L1,TCF7L2
TSC	TSC1,TSC2
Antisurvival	
Prosurvival	
