"","ERK_b1","EGFR","GRB2","PI3K","MEK1_2_b1","AKT","SPRY","BRAF","GAB1","RAS","PTEN","EGF","HGF","SOS","MET","PDK1","CRAF","p70_b1","FGF","FGFR2","FRS2","TSC2","mTOR","RHEB","ERBB3","FOXD3","SOX10","ERBB2","p21","p53","ATM","MDM2"
"451Lu",0.634717018930515,0.00112332693898235,0.358894663418974,0.32278467127159,0.494045118140785,0.844593939497106,0.709398240342725,0.64690086773546,0.5,0.210267762777914,0.67721532872841,0.16566411536382,NA,0.270498921635081,0.187271914880643,0.161390368907288,0.411870604106641,0.163475309977284,0.0377514304074436,0,0.154945990267178,0.388287758016918,0.865774227829718,0.787739301161648,0.999999732876049,4.79830892611841e-08,0.968959733740245,0.249787378544437,0.145274401215157,0.572263692514356,0.336789207607168,0.380939168260375
"8305C",0.569459070810143,0.999987776750497,0.564281942657294,0.154945990267178,0.498632576058932,0.924874533963649,0.445679470473987,0.154945990267178,0.219813347009543,0.474584396642595,0.238191531931661,0.234023489495656,NA,0.270498921635081,0.494217856071783,0.32278467127159,0.411870604106641,0.330695184453644,0.258033734748523,0,0.154945990267178,0.388287758016918,0.45897564646357,0.427297408380998,7.24935667786363e-09,4.79830892611841e-08,0,0.314926797344214,0.199057691164192,0.60283978937695,0.214522277722941,0.116627197605043
"8505C",0.370086428137378,0.999920950637155,0.564281942657294,0.5,0.604894439342557,0.862604717752348,0.297943864281954,0.154945990267178,0.5,0.609585641560688,0.238191531931661,0.46545588202577,NA,0.270498921635081,0.547967958018101,0.5,0.897770753481093,0.749560932839144,0.305994332714558,0,0.5,0.5,0.614142917656917,0.464526325971965,8.3332046013549e-06,4.79830892611841e-08,0,0.5,0.27788294937438,0.616927706370874,0.571631472115474,0.258527285268148
"A101D",0.349251811986752,0.399462086410165,0.564281942657294,0.32278467127159,0.679188450081083,0.661392271813817,0.690364007821165,0.64690086773546,0.219813347009543,0.478639803562544,0.146754153483681,0.490817358489431,NA,0.388287758016918,0.3324034846317,0.161390368907288,0.411870604106641,0.32278467127159,0.0598346015443824,0,0.5,0.67721532872841,0.811166607375523,0.907080928895569,0.999999998886135,0.999999998941907,0,0.371219747760405,0.655133271011013,0.267865440649059,0.51722871997697,0.755725850706224
"A2058",0.347665433205911,0.00112332693898235,0.649021879880022,0.154945990267178,0.550553795067103,0.749999979756923,0.741505119596506,0.32278467127159,0.5,0.517968015174903,0.5,0.300915237704908,NA,0.388287758016918,0.35018456497499,0.161390368907288,0.582160650253424,0.694280834815402,0.0876561068852283,0,0.5,0.791284248958305,0.67721532872841,0.482494315594102,0.999999999863298,0.00121318303989838,0,0.462639525325622,0.221563193029447,0.616927706370874,0.48277128002303,0.380939168260375
"A375",0.370086428137378,0.0266223321228769,0.594168284309893,0.32278467127159,0.468107223571689,0.603987856464768,0.798326535896395,0.5,0.219813347009543,0.556754820735967,0.420614074379038,0.289278709541979,NA,0.5,0.35018456497499,0.32278467127159,0.847424212445586,0.766480477982631,0.0755028608148871,0,0.64690086773546,0.861194307915595,0.67721532872841,0.5170263918814,0.999999999979189,0.313827212116332,0,0.462639525325622,0.524117490373615,0.457389577223422,0.51722871997697,0.589925480832476
"ASH-3",0.403062137534332,0.99343183890928,0.32278467127159,0.753494982760461,0.800073713749265,0.776938913045586,0.534685153982842,0.5,0.5,0.405253538343041,0.420614074379038,0.148842107446412,NA,0.67721532872841,0.367276395300794,0.161390368907288,0.915782565675241,0.281780669687703,0.347492364840408,0,0.32278467127159,0.5,0.370963146014922,0.151405369250532,7.24935667786363e-09,4.79830892611841e-08,0,0.174455863396485,0.478846164023367,0.572263692514356,0.653670418782306,0.258527285268148
"B-CPAP",0.257459548909998,0.999986609950893,0.358894663418974,0.32278467127159,0.461147958223148,0.661392335181366,0.249799686511993,0.32278467127159,0.5,0.305005269327862,0.718900415904574,0.284357180508784,NA,0.5,0.494217856071783,0.161390368907288,0.16556025104728,0.653438742449045,0.31079056835841,0,0.5,0.931898516765823,0.811166607375523,0.0397247360506323,8.3332046013549e-06,4.79830892611841e-08,0,0.5,0.173909012656529,0.666373058316965,0.451407891036786,0.116627197605043
"BHT-101",0.118846305029393,0.999413712405782,0.157904615955918,0.5,0.280636223744545,0.538673488606375,0.249799686511993,0.64690086773546,0.219813347009543,0.422593317534988,0.62764194013577,0.479601492968871,NA,0.270498921635081,0.714494335710947,0.161390368907288,0.582160650253424,0.411392335635795,0.107177071176106,0,0.32278467127159,0.388287758016918,0.67721532872841,0.741519573779369,8.3332046013549e-06,4.79830892611841e-08,0,0.0885429743666917,0.451388160759814,0.538134797470965,0.675773917700973,0.32278467127159
"C2BBe1",0.705781323589382,0.995321701971694,0.757689172498938,0.5,0.411392335635795,0.103987927674999,0.414308710132584,0.826463000262987,0.939843399805633,0.449833979931,0.568912565797084,0.350108090688466,NA,0.861194307915595,0.584486510826621,0.888561669630805,0.847424212445586,0.843016921769149,0.0578653326716916,1,0.974623215996909,0.270498921635081,0.281996520597654,0.682793698606598,0.999999992890265,4.79830892611841e-08,0,0.76568243959484,0.260649300311246,0.0396466521962646,0.336789207607168,0.47938433511305
