"","AKT","ASK1","Axin","BAD","BAX","BCL2","betacatenin","betaTrCP","Caspase37_b1","Caspase8","Caspase9","CCND1_b1","CFLAR","CK1","cMYC","CytochromeC","DKK1","DKK1gene","DUSP1","DUSP6","Dvl","Egr1","ERK","FOXO","Fz","GAB","GRAP2","GRB2","GSK3","IKKA","IKKB","IRS1","ITCH","JNK","LEF","LRP","MAP3K8","MDM2","MDM2gene","MEK","MEKK4","MKK3","MKK4","MKK7","MLK3","MMP","MSK","mTORC1","mTORC2","NFkB","NLK","p38alpha","p53","PDK1","PI3K","pras40","PTEN","PTENgene","Rac","Raf","Ras","Rheb","RSK","RTPK","RTPKgene","S6K","SFRP1","SFRP1gene","SHC1","SHP2","SOS","TAB","TAK1","TCF","TSC"
"451Lu",0.866390877751205,0.27671990751804,0.297558644707021,0.32278467127159,0.32278467127159,0.589082326580679,0.725565323897831,0.5,0.168738052117283,0.0557361680594147,0.67721532872841,0.4934319346958,0.118390757626694,0.291636134398356,0.665023284916214,0.464099086600474,8.67844120985079e-05,8.67844120985079e-05,0.264576951162691,0.67089908478366,0.705605780415057,0.577368886620603,0.60224367347587,0.440928223757197,0.416906783402908,0.714671386819449,NA,0.358894663418974,0.526687461349764,0.322784671271591,0.161390368907288,0.5,0.446625077300472,0.103600091068307,0.999991858887707,0.390795447070743,0.000132535913287602,0.32278467127159,0.32278467127159,0.507638384880912,0.154945990267178,0.552567313256728,0.5,0.743130821924093,0.772265157763295,0.216326774382248,0.749999999989543,0.645187074718062,0.493697259722642,0.412234613606513,0.143638842761209,0.0564051435862443,0.601119608385173,0.161390368907288,0.5,0.566443326799577,0.686863357163565,0.686863357163565,0.41852461143943,0.440369463044592,0.232273301410777,0.79549087850873,0.46319333293298,0.287157053955199,0.287157053955199,0.163475309977284,0.999984398791919,0.999984398791919,0.654999324091785,0.162965428116911,0.270498921635081,0.608662100882194,0.102432690702832,0.348483265810498,0.222346450801581
"A101D",0.607594838790861,0.562568352851343,0.219813347009543,0.444202965936873,0.901607165166628,0.294541163290339,0.385108562712829,0.277816166751039,0.377302226700563,0.59798042178939,0.67721532872841,0.207581723040301,0.5,0.379190953166196,0.0619655033900923,0.749126941159637,0.363241970152682,0.363241970152682,0.264576951162691,0.556537525602069,0.344820968071577,0.0911488062052254,0.334115417689392,0.298834119990497,0.438868906386533,0.359906673504772,NA,0.564281942657294,0.589047053342979,0.5,0.161390368907288,0.219813347009543,0.550160495386791,0.193173005323498,0.995386174899305,0.398468516447681,0.000132535913287602,0.717293021039706,0.717293021039706,0.692885007580144,0.5,0.737366556939762,0.384706420257748,0.5,0.750709057145376,0.345878235041928,0.161392389012549,0.652906653858142,0.513557688736459,0.751499581997832,0.5,0.412500582824306,0.32278467127159,0.161390368907288,0.5,0.956177021226746,0.134007382676316,0.134007382676316,0.558348170755463,0.592511051676939,0.32278467127159,0.913738206096719,0.776685896939598,0.313589052963172,0.313589052963172,0.32278467127159,0.999999961299474,0.999999961299474,0.735654409956183,0.749554218130724,0.388287758016918,0.41317859996673,0.5,0.212737301063783,0.366810236157327
"A2058",0.66666665005321,0.5,0.297558644707021,0.551361165155797,0.290866938874073,0.294541163290339,0.630793281810047,0.5,0.55892574246173,0.5,0.5,0.469272550620934,0.32278467127159,0.440212673545181,0.111822495355181,0.609076372487502,0.567131876470641,0.567131876470641,0.264576951162691,0.53515344925063,0.44481967223157,0.117910479106381,0.342123390325642,0.355526631026012,0.448597767077053,0.445211696897875,NA,0.649021879880022,0.381547206807805,0.769957444946584,0.5,0.5,0.128908946340255,0.411392335635795,0.999903940737821,0.582551732254004,0.000132535913287602,0.32278467127159,0.32278467127159,0.556601637913747,0.826463000262987,0.377897825182467,0.67721532872841,0.283328066712909,0.593578575175586,0.295991381405604,0.184695362108697,0.590121994908331,0.559071776242803,0.521669548239096,0.67721532872841,0.651697653232702,0.639862459165394,0.161390368907288,0.277816166751039,0.566443326799577,0.5,0.5,0.725741927802004,0.449421090915182,0.414041004119909,0.481867506197759,0.382314776180148,0.271349256981143,0.271349256981143,0.694280834815402,0.999999683452492,0.999999683452492,0.749631166853116,0.555068790025761,0.388287758016918,0.525498826736247,0.596055919737556,0.310752912492478,0.476337308932797
"A375",0.662475675066055,0.412267556736421,0.297558644707021,0.739695448904841,0.595973305040342,0,0.487766907386806,0.793548322114184,0.650993570303809,0.59798042178939,0.67721532872841,0.462017656863143,0.32278467127159,0.56389378944386,0.0392663083405679,0.314466908998062,0.303571422587001,0.303571422587001,0.462946727971628,0.620477465385704,0.395797904840161,0.348005522672694,0.366446071316777,0.463598492197902,0.44783249447205,0.271299009140567,NA,0.594168284309893,0.714984466222368,0.897770753481093,0.32278467127159,0.37150853976559,0.596554202473323,0.411392335635795,0.981703576719917,0.568365760203154,0.000132535913287602,0.534509292531828,0.534509292531828,0.466694714181038,0.5,0.527014615228916,0.5,0.67721532872841,0.549341392924833,0.286613024236747,0.184695362108697,0.664917639630745,0.581514901510533,0.498005121992036,0.5,0.100595375686626,0.5,0.32278467127159,0.5,0.842815960115398,0.415935327268172,0.415935327268172,0.244218465438852,0.708001489378012,0.5,0.517636068113157,0.697396316193088,0.334337428146967,0.334337428146967,0.766480477982631,0.999999957942132,0.999999957942132,0.729689529477649,0.794532330378588,0.5,0.550065015683359,0.67721532872841,0.274893737931555,0.591989489593593
"C2BBe1",0.235991962317359,0.412267556736421,0.439292474330571,0.639862459165394,0.385341525817255,0,0.17081287668608,0.793548322114184,0.727215852499796,0.67721532872841,0.67721532872841,0.370269322304677,0.780186652990457,0.415868959417233,0.25290318145482,0.160445359348525,0.383245719927269,0.383245719927269,0.919307536704921,0.187151335721288,0.495493021301082,0.908851193794775,0.667177493899967,0.797255885557142,0.44589872890605,0.875282445960094,NA,0.757689172498938,0.465888206229903,0.5,0.0564051435862443,0.842182610430975,0.946467100898441,0.895112080207944,0.0829538525843573,0.80304619167351,0.999964606547728,0.419776215050456,0.419776215050456,0.411392335635795,0.64690086773546,0.309973805012624,0.59798042178939,0.5,0.386134993919076,0,0.287634636814601,0.355365724127158,0.539655109896094,0.467520467873564,0.975299675032752,0.979312448550947,0.0642789543350894,0.888561669630805,0.67721532872841,0.350557736728273,0.572992885632229,0.572992885632229,0.412115692433375,0.685880024912836,0.987849543553321,0.688714099091299,0.530053633771416,0.489110235698387,0.489110235698387,0.843016921769149,4.49059336859747e-07,4.49059336859747e-07,0.239909782331296,0.382347629401965,0.861194307915595,0.722570038062376,0.743130821924093,0.649428154746308,0.516751216326879
"C32",0.678911216735906,0.5,0.297558644707021,0.67721532872841,0.705134023203559,0.294541163290339,0.517722901035047,0.67721532872841,0.690093079345662,0.788477261720851,0.219813347009543,0.739274995190366,0.62849146023441,0.660923769016741,0.424748580335544,0.473263091396888,0.203711970946697,0.203711970946697,0.562909628379417,0.75236773888323,0.251114652034423,0.72452756028088,0.426230907729948,0.23911884382037,0.370768523908745,0.474573781735134,NA,0.5,0.479729174528697,0.655179831665389,0.161390368907288,0.5,0.128908946340255,0.321819421380604,0.999971712642025,0.233505336151722,0.000132535913287602,0.732134559350941,0.732134559350941,0.5400184413704,0.5,0.620726038388027,0.59798042178939,0.182838266880339,0.5,0.113636253415187,0.729233954836847,0.419526090261186,0.395195128383776,0.417236104177154,0.384706420257748,0.161390368907288,0.408419745937597,0.5,0.277816166751039,0.62557900828874,0.0135807777499205,0.0135807777499205,0.316379772054383,0.635982396938886,0.32278467127159,0.960289543563535,0.657644277708557,0.296126147419037,0.296126147419037,0.653438742449045,0.99966101261549,0.99966101261549,0.840695850934693,0.441979227184199,0.5,0.525498826736247,0.67721532872841,0.145717940196543,0.411392335635795
"CaR-1",0.607594890246399,0.609864394603404,0.297558644707021,0.940319509180687,0.227205922571848,0,0.213571664371713,0.909023370971839,0.524861215420557,0.739695448904841,0.5,0.733943210057965,0.99373827216211,0.43104298926536,0.355756388658886,0.445408538985063,0.317960869688354,0.317960869688354,0.941031360926815,0.0299075209854984,0.588038574468287,0.552173557397733,0.366905971018419,0.510246073886941,0.373914021852589,0.445211696897875,NA,0.919854238752461,0.55825639075001,0.897770753481093,0.763003511018677,0.780186652990457,0.769434037861029,0.903701794058877,0.0104224021479379,0.453403095373713,0.99405191715202,0.32278467127159,0.32278467127159,0.481851944677513,0.753494982760461,0.377897825182467,0.67721532872841,0.392949738419673,0.5,0.5,0.359020282700221,0.181704070638407,0.453102216698043,0.922414384619762,0.260304551095159,0.651697653232702,0.717546831410488,0.32278467127159,0.865103793383268,0.134419340094922,0.634938674894722,0.634938674894722,0.712640154145597,0.422034207497374,0.414041004119909,0.364255377730366,0.442084545878819,0.299555994090398,0.299555994090398,0.84575022874371,4.49059336859747e-07,4.49059336859747e-07,0.282772432896888,0.293612817820414,0.861194307915595,0.63336308156634,0.5,0.289804186022355,0.575848826616351
"CCK-81",0.449696760905189,0.782855347782038,0.67721532872841,0.199674039227487,0.525835457511748,0.294541163290339,0.517722901035047,0.793548322114184,0.829954805247771,0.5,0.5,0.0952948784848107,0.5,0.281181042540635,0.728904351137103,0.761074361307287,8.67844120985079e-05,8.67844120985079e-05,0.200209523645071,0.293595643105964,0.539865557218309,0.770722579024861,0.547522560009894,0.542830486744803,0.409502309756225,0.329960194129532,NA,0.790928582718538,0.606175810422255,0.322784671271591,0.651697653232702,0.073542217264712,0.5,0.75577049445209,0.890015823639899,0.593344461626809,0.000132535913287602,0.642944651483841,0.642944651483841,0.411392335635795,0.5,0.10855088363663,0.00980347591989306,0.392949738419673,0.257069331727879,0,0.707391368395897,0.479250935801611,0.392254490134613,0.428703483289314,0.384706420257748,0.712368543818034,0.786310440607206,0.651697653232702,0.277816166751039,0.67721532872841,0.730152176294355,0.730152176294355,0.657666701885832,0.440928223757197,0.747295763480357,0.404883005275136,0.548937881621405,0.397284604523769,0.397284604523769,0.669304815546356,4.49059336859747e-07,4.49059336859747e-07,0.32278467127159,0.527971791636216,0.5,0.588607664364205,0.5,0.26395334433468,0.531939169327018
"CHL-1",0.517904250995073,0.27671990751804,0.600561163945713,0.788477261720851,0.290866938874073,1,0.679620469544338,0.5,0.542753701143898,0.00980347591989306,0.67721532872841,0.536574521019986,0.118390757626694,0.740204257033076,0.468312122496255,0.345778490524412,0.286373528787236,0.286373528787236,0.635759135738008,0.401028746714605,0.639820648990732,0.117910479106381,0.59963338494174,0.404526715955099,0.456334506739135,0.661262691170746,NA,0.395040749034267,0.47015487117201,0.655179831665389,0.32278467127159,0.219813347009543,0.814875636488985,0.32278467127159,0.0104224021479379,0.652710752944468,0.000132535913287602,0.5,0.5,0.578809878165508,0.5,0.171408931047443,0.788477261720851,0.67721532872841,0.632991113643964,0.0900546001927587,0.0925622351322608,0.604776015392361,0.632797572969637,0.248785984686182,0.5,0.161390368907288,0.601119608385173,0.651697653232702,0.936606156080086,0.350557736728273,0.415935327268172,0.415935327268172,0.51284040759371,0.46051871437123,0.989460420255908,0.924101306091005,0.555022670710119,0.542292025301597,0.542292025301597,0.669304815546356,0.95516485070892,0.95516485070892,0.44615564239922,0.714338018942943,0.67721532872841,0.749241203518615,0.743130821924093,0.606553758098305,0.669304815546356
"CL-11",0.640624808196264,0.5,0.439292474330571,0.444202965936873,0.444782281072294,0,0.64290780032499,0.67721532872841,0.612602398869418,0.67721532872841,0.5,0.612639924323246,0.824692788501687,0.631039461898719,0.406016006949911,0.786296928318572,0.749996611960412,0.749996611960412,0.783802211470563,0.817758439657678,0.392732091945855,0.571339925274842,0.594444211832675,0.420818761111893,0.318358093660978,0.381950882027471,NA,0.0849890775328021,0.318105166023199,0.655179831665389,0.32278467127159,0.980373582588678,0.769434037861029,0.531240060088216,0.996880992915816,0.510713342860112,0.999901063443257,0.267865440649059,0.267865440649059,0.486656072954849,0.154945990267178,0.889154479417766,0.384706420257748,0.596055919737556,0.32278467127159,0,0.90430485081306,0.586967232799562,0.482915898258519,0.409758239353388,0.788477261720851,0.100595375686626,0.290553978322494,0.5,0.5,0.350557736728273,0.415935327268172,0.415935327268172,0.657187610855963,0.641234622159212,0.5,0.909065057725041,0.534582439691364,0.410810300394556,0.410810300394556,0.408285100286338,4.49059336859747e-07,4.49059336859747e-07,0.538952699903778,0.674595207967489,0.5,0.135616738280827,0.102432690702832,0.367824901950896,0.411392335635795
