n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 A101D Zero 49.0 0.218076 0.130913
0 A101D BRAF 49.0 0.195416 0.132972
1 C32 Zero 49.0 0.338474 0.195474
1 C32 BRAF 49.0 0.225179 0.15563
0 A101D PI3K 49.0 0.170376 0.0
1 C32 PI3K 49.0 0.298853 0.0
0 A101D p53 49.0 0.33555599999999997 0.201533
1 C32 p53 49.0 0.38705199999999995 0.246548
2 LS-180 Zero 49.0 0.433338 0.134265
2 LS-180 BRAF 49.0 0.375347 0.129164
3 SW1116 Zero 49.0 0.308257 0.178534
3 SW1116 BRAF 49.0 0.309462 0.198918
2 LS-180 PI3K 49.0 0.38098000000000004 0.104204
3 SW1116 PI3K 49.0 0.35901099999999997 0.091191
2 LS-180 p53 49.0 0.5972310000000001 0.172705
3 SW1116 p53 49.0 0.390328 0.231789
4 HCC2998 Zero 49.0 0.723514 0.627317
4 HCC2998 BRAF 49.0 0.719314 0.628443
5 COLO-678 Zero 49.0 0.26161500000000004 0.21754
4 HCC2998 PI3K 49.0 0.5584530000000001 0.301167
5 COLO-678 BRAF 49.0 0.252871 0.212412
4 HCC2998 p53 49.0 0.869623 0.751017
5 COLO-678 PI3K 49.0 0.225132 0.0
6 HCT-116 Zero 49.0 0.357561 0.251116
5 COLO-678 p53 49.0 0.429152 0.364289
6 HCT-116 BRAF 49.0 0.34027399999999997 0.267785
7 CL-34 Zero 49.0 0.212194 0.07607
6 HCT-116 PI3K 49.0 0.393148 0.0
7 CL-34 BRAF 49.0 0.17402600000000001 0.078561
6 HCT-116 p53 49.0 0.758859 0.544338
8 CaR-1 Zero 49.0 0.434121 0.390109
7 CL-34 PI3K 49.0 0.121184 0.0
8 CaR-1 BRAF 49.0 0.432176 0.381242
7 CL-34 p53 49.0 0.35325300000000004 0.150122
8 CaR-1 PI3K 49.0 0.359936 0.0
9 SW1417 Zero 49.0 0.41141099999999997 0.294622
8 CaR-1 p53 49.0 0.79986 0.750584
9 SW1417 BRAF 49.0 0.41756899999999997 0.304073
10 SW620 Zero 49.0 0.38518 0.112433
9 SW1417 PI3K 49.0 0.122072 0.0
10 SW620 BRAF 49.0 0.17993 0.086218
10 SW620 PI3K 49.0 0.40286700000000003 0.004975
9 SW1417 p53 49.0 0.629064 0.47196
10 SW620 p53 49.0 0.5088900000000001 0.327869
11 MZ7-mel Zero 49.5 0.15737299999999999 0.066498
11 MZ7-mel BRAF 49.5 0.152198 0.072386
12 SNU-81 Zero 49.0 0.622265 0.453754
11 MZ7-mel PI3K 49.5 0.119874 0.002845
12 SNU-81 BRAF 49.0 0.627205 0.457775
11 MZ7-mel p53 49.5 0.204129 0.169035
12 SNU-81 PI3K 49.0 0.5578829999999999 0.200061
13 SK-MEL-2 Zero 49.5 0.5563290000000001 0.383767
12 SNU-81 p53 49.0 0.8863489999999999 0.641921
