n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2 BRAF PTEN AKT PDPK1 p70_b1 p70_b2 ERK_b1 ERK_b2 MEK_b1 MEK_b2
0 SK-CO-1 Zero 49.0 0.25685300000000005 0.055659999999999994 0.48717200000000005 0.12880199999999997 0.3006039999999999 0.313343 0.39274899999999985 0.236759 0.32106700000000005 0.18804100000000004 0.3694139999999999 0.22512599999999997
0 SK-CO-1 BRAF 49.0 0.11578099999999997 0.054735 0.0 0.122 0.303553 0.3137510000000001 0.39889400000000014 0.24010199999999998 0.25273000000000007 0.0 0.32951100000000005 0.0
1 SW1417 Zero 49.0 0.41370399999999985 0.30257399999999995 0.10793499999999999 0.3936589999999998 0.4575679999999999 0.5062389999999998 0.6545509999999998 0.46661099999999983 0.652322 0.07906300000000002 0.7555199999999999 0.10373300000000003
0 SK-CO-1 PI3K 49.0 0.247371 0.0 0.7177320000000003 0.12100000000000002 0.0 0.0 0.04261999999999999 0.0 0.3444109999999999 0.2716699999999999 0.38356899999999994 0.33666899999999994
1 SW1417 BRAF 49.0 0.42019 0.3068719999999999 0.0 0.3887389999999999 0.46510399999999996 0.5155399999999999 0.6719329999999997 0.47206699999999985 0.6530149999999998 0.0 0.7582059999999997 0.0
0 SK-CO-1 p53 49.0 0.29173800000000016 0.067538 0.439637 0.0 0.35857300000000014 0.37415500000000007 0.4531990000000001 0.28283 0.32133900000000004 0.17895800000000003 0.37300900000000003 0.21389600000000003
1 SW1417 PI3K 49.0 0.11633800000000001 0.0 0.24446600000000002 0.399441 0.0 0.0 0.023589 0.0 0.6541980000000002 0.18966200000000003 0.760635 0.239978
2 SK-MEL-5 Zero 49.0 0.050504 0.030804 0.06346200000000002 0.4920540000000001 0.276533 0.26172199999999995 0.35291300000000003 0.260451 0.09178099999999995 0.017233 0.11476099999999999 0.026559000000000006
2 SK-MEL-5 BRAF 49.0 0.048227 0.028879 0.0 0.48375200000000007 0.2879069999999999 0.27418400000000004 0.37317799999999995 0.275214 0.08279900000000001 0.0 0.110271 0.0
1 SW1417 p53 49.0 0.6362119999999997 0.474442 0.031010000000000003 0.0 0.7319059999999995 0.8086789999999994 0.9202859999999994 0.7369759999999995 0.6608319999999995 0.020559000000000004 0.7607739999999994 0.027608000000000008
