n_profile Patient_ID Drug_ID Time RAS SOS GRB2 SPRY PI3K GAB1 EGF EGFR HGF MET CRAF FGF
0 SNU-61 Zero 49.0 0.6659819999999999 0.6846319999999998 0.8909949999999993 0.057799999999999976 0.39170900000000003 0.7131549999999998 0.47720199999999996 0.7854779999999997 0.5084009999999998 0.5084009999999998 0.141585 0.0
0 SNU-61 BRAF 49.0 0.7276219999999997 0.7409109999999997 0.8976259999999994 0.03776199999999999 0.39291399999999993 0.7633429999999998 0.48300099999999996 0.7870419999999994 0.5045989999999997 0.5045989999999997 0.15047400000000016 0.0
0 SNU-61 PI3K 49.0 0.5922559999999996 0.6169939999999997 0.8812049999999998 0.08851099999999999 0.0 0.6673069999999997 0.48020200000000013 0.7821779999999996 0.4830019999999999 0.4830019999999999 0.11480100000000003 0.0
1 HMV-II Zero 49.5 0.20035100000000008 0.1562150000000001 0.3775309999999997 0.7058350000000001 0.7372210000000002 0.4108 0.138 0.0 0.5006009999999999 0.41261099999999995 0.5454080000000001 0.061598999999999994
0 SNU-61 p53 49.0 0.7209430000000001 0.7360909999999998 0.9002969999999998 0.03987800000000001 0.7846720000000003 0.7441949999999999 0.48020299999999977 0.7882779999999997 0.5001989999999997 0.5001989999999997 0.145743 0.0
1 HMV-II BRAF 49.5 0.21357900000000007 0.16058300000000006 0.3875509999999999 0.7046879999999994 0.7384989999999992 0.4109189999999999 0.14140100000000008 0.0 0.5040039999999995 0.41297699999999987 0.5546079999999999 0.06280299999999996
2 CL-40 Zero 49.0 0.551248 0.578434 0.6642209999999998 0.19923899999999997 0.6262459999999995 0.8394549999999994 0.7831990000000001 0.8179529999999997 0.5068029999999999 0.5072029999999998 0.07093899999999999 0.09479700000000008
1 HMV-II PI3K 49.5 0.20053900000000005 0.15146900000000002 0.360778 0.7302729999999995 0.0 0.4013179999999999 0.13399899999999998 0.0 0.5006019999999999 0.4053069999999999 0.5260909999999998 0.06340000000000003
2 CL-40 BRAF 49.0 0.6132719999999998 0.6432689999999996 0.7150379999999996 0.14806100000000005 0.6471009999999998 0.8560199999999992 0.7917990000000001 0.8237469999999998 0.5018 0.502 0.07261600000000008 0.08860100000000008
1 HMV-II p53 49.5 0.220161 0.163706 0.38199099999999997 0.7066659999999997 0.9934049999999994 0.39022000000000007 0.134002 0.0 0.4836000000000001 0.39338600000000007 0.554635 0.06499800000000004
2 CL-40 PI3K 49.0 0.4914369999999999 0.5212529999999999 0.6104309999999998 0.2362050000000001 0.0 0.8198169999999992 0.7882019999999996 0.8130929999999994 0.48959999999999987 0.48959999999999987 0.05787099999999999 0.09400000000000006
3 LB2518-MEL Zero 49.5 0.35267899999999985 0.4175049999999999 0.23138400000000003 0.5111569999999996 0.47596699999999986 0.5704059999999996 0.19779900000000014 0.0 0.5127989999999999 0.5127989999999999 0.30997799999999986 0.04299999999999998
2 CL-40 p53 49.0 0.5756319999999998 0.6038639999999998 0.687811 0.1712480000000001 0.7719669999999994 0.8471239999999998 0.7861959999999997 0.8152659999999998 0.5061969999999997 0.5061969999999997 0.07293000000000005 0.09139800000000006
3 LB2518-MEL BRAF 49.5 0.36564399999999986 0.4338509999999999 0.23347999999999994 0.5060469999999999 0.48531399999999997 0.536796 0.1976000000000001 0.0 0.4866000000000001 0.4866000000000001 0.3312989999999999 0.040397999999999996
3 LB2518-MEL PI3K 49.5 0.30019200000000024 0.35602300000000014 0.18459299999999995 0.5642909999999995 0.0 0.5609309999999996 0.19599999999999998 0.0 0.5028000000000001 0.5028000000000001 0.26542900000000014 0.04299799999999999
4 WM1552C Zero 49.0 0.8862189999999994 0.8698139999999994 0.6366909999999996 0.27633699999999967 0.7633409999999994 0.6747419999999997 0.28580199999999983 0.707822 0.5100059999999992 0.5100059999999992 0.3144579999999997 0.22160000000000007
3 LB2518-MEL p53 49.5 0.3281669999999999 0.39496500000000007 0.227517 0.48835699999999993 0.9541810000000001 0.5563699999999997 0.19000200000000012 0.0 0.5042000000000002 0.5042000000000002 0.2954439999999999 0.039201999999999994
4 WM1552C BRAF 49.0 0.8771849999999998 0.8657909999999999 0.6292469999999999 0.26902099999999995 0.7688259999999999 0.6656459999999996 0.280997 0.6926029999999996 0.5002039999999996 0.5002039999999996 0.33061200000000013 0.2181970000000001
4 WM1552C PI3K 49.0 0.8164359999999992 0.8002049999999994 0.4577100000000002 0.46097899999999986 0.0 0.6084489999999999 0.27639899999999995 0.6912659999999998 0.5091989999999997 0.5091989999999997 0.28608899999999987 0.21220000000000006
5 CCK-81 Zero 49.0 0.5017379999999999 0.5640940000000001 0.7670769999999999 0.25011400000000006 0.2484500000000001 0.6092879999999999 0.40179500000000007 0.48604200000000003 0.515998 0.515998 0.49783200000000016 0.0
4 WM1552C p53 49.0 0.8781889999999998 0.8721760000000001 0.6383280000000002 0.2610040000000001 0.982277 0.6702660000000001 0.27900200000000014 0.7068190000000001 0.5016010000000002 0.5016010000000002 0.30972900000000003 0.21459799999999998
5 CCK-81 BRAF 49.0 0.5463710000000002 0.6191530000000003 0.7772900000000001 0.1931240000000001 0.2667819999999999 0.6050779999999998 0.4049999999999999 0.49272699999999975 0.5034029999999996 0.5034029999999996 0.5458479999999998 0.0
6 Mewo Zero 49.0 0.3232030000000001 0.06016199999999999 0.518496 0.6417090000000001 0.32744000000000006 0.5019609999999999 0.11639800000000002 0.002439 0.5017989999999999 0.500799 0.599444 0.0
6 Mewo BRAF 49.0 0.32024400000000003 0.05651100000000001 0.49892000000000014 0.6402370000000001 0.321252 0.49467300000000003 0.11340200000000002 0.0030350000000000004 0.4935999999999999 0.492327 0.5971240000000002 0.0
5 CCK-81 PI3K 49.0 0.492704 0.5604799999999998 0.756359 0.2555310000000002 0.0 0.5996959999999997 0.3984 0.48677600000000004 0.5099999999999997 0.5099999999999997 0.4977600000000001 0.0
6 Mewo PI3K 49.0 0.31642 0.055998 0.503833 0.635841 0.0 0.5023979999999998 0.10479900000000002 0.0006000000000000001 0.5023979999999998 0.5015979999999999 0.5926039999999999 0.0
5 CCK-81 p53 49.0 0.5390409999999997 0.6032449999999998 0.7723899999999997 0.21361599999999997 0.6306929999999996 0.59766 0.4041999999999999 0.495903 0.5036039999999998 0.5036039999999998 0.5399369999999998 0.0
6 Mewo p53 49.0 0.31005200000000005 0.056183 0.49608700000000006 0.6377790000000002 0.502144 0.504852 0.11019899999999999 0.000853 0.505197 0.504612 0.5924040000000003 0.0
