n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
1 LS-180 Zero 49.0 1.0 1.0
1 LS-180 BRAF 49.0 1.0 1.0
0 COLO-320-HSR Zero 49.0 0.462348 0.260029
1 LS-180 PI3K 49.0 0.5152 0.0
1 LS-180 p53 49.0 1.0 1.0
2 CP50-MEL-B Zero 49.0 0.503 0.2602
0 COLO-320-HSR BRAF 49.0 0.45411999999999997 0.273922
2 CP50-MEL-B BRAF 49.0 0.22022 0.136379
0 COLO-320-HSR PI3K 49.0 0.288664 0.0
2 CP50-MEL-B PI3K 49.0 0.4958 0.0
2 CP50-MEL-B p53 49.0 1.0 0.5158
0 COLO-320-HSR p53 49.0 0.46262899999999996 0.261437
3 SW1463 Zero 49.0 1.0 0.516
3 SW1463 BRAF 49.0 0.5284 0.5284
4 COLO-800 Zero 49.0 1.0 0.498
3 SW1463 PI3K 49.0 1.0 0.0
3 SW1463 p53 49.0 1.0 0.4952
4 COLO-800 BRAF 49.0 0.452372 0.273977
5 LB373-MEL-D Zero 49.0 0.49979999999999997 0.2512
4 COLO-800 PI3K 49.0 1.0 0.0
5 LB373-MEL-D BRAF 49.0 0.2532 0.2532
4 COLO-800 p53 49.0 1.0 0.4972
5 LB373-MEL-D PI3K 49.0 0.5032 0.0
6 SK-MEL-31 Zero 49.0 0.5082 0.2494
5 LB373-MEL-D p53 49.0 1.0 0.5066
7 RPMI-7951 Zero 49.0 0.489 0.24
6 SK-MEL-31 BRAF 49.0 0.230852 0.140088
6 SK-MEL-31 PI3K 49.0 0.4978 0.0
7 RPMI-7951 BRAF 49.0 0.22242099999999998 0.136572
6 SK-MEL-31 p53 49.0 1.0 0.5018
7 RPMI-7951 PI3K 49.0 0.5054 0.0
8 MDST8 Zero 49.0 0.5048 0.2604
7 RPMI-7951 p53 49.0 1.0 0.4966
9 CL-34 Zero 49.0 0.4908 0.2458
8 MDST8 BRAF 49.0 0.223435 0.134876
8 MDST8 PI3K 49.0 0.5066 0.0
9 CL-34 BRAF 49.0 0.224175 0.124643
