n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2 BRAF PTEN AKT PDPK1 p70_b1 p70_b2 ERK_b1 ERK_b2 MEK_b1 MEK_b2
0 LS-411N Zero 49.0 0.5058 0.2582 1.0 0.4942 0.2582 0.2582 0.2582 0.2582 1.0 1.0 1.0 1.0
1 LS-513 Zero 49.0 0.48160000000000003 0.2424 0.7575999999999999 0.5184 0.2424 0.2424 0.2424 0.2424 1.0 0.7575999999999999 1.0 0.7575999999999999
1 LS-513 BRAF 49.0 0.257 0.257 0.0 0.5 0.257 0.257 0.257 0.257 1.0 0.0 1.0 0.0
1 LS-513 PI3K 49.0 0.5002 0.0 1.0 0.4998 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
0 LS-411N BRAF 49.0 0.22706600000000002 0.13571000000000003 0.0 0.5002 0.36916200000000005 0.370943 0.41401999999999994 0.319618 0.4256999999999999 0.0 0.42963799999999996 0.0
1 LS-513 p53 49.0 1.0 0.5026 0.4974 0.0 0.5026 0.5026 0.5026 0.5026 1.0 0.4974 1.0 0.4974
0 LS-411N PI3K 49.0 0.5062 0.0 1.0 0.4938 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
2 NCI-H508 Zero 49.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 LS-411N p53 49.0 1.0 0.4998 1.0 0.0 0.4998 0.4998 0.4998 0.4998 1.0 1.0 1.0 1.0
3 MMAc-SF Zero 49.0 0.493 0.2492 1.0 0.507 0.2492 0.2492 0.2492 0.2492 1.0 1.0 1.0 1.0
2 NCI-H508 BRAF 49.0 0.493578 0.364283 0.0 0.0 0.9999999999999999 0.9999999999999999 0.9999999999999999 0.9999999999999999 0.429117 0.0 0.42353099999999994 0.0
2 NCI-H508 PI3K 49.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
3 MMAc-SF BRAF 49.0 0.225411 0.132241 0.0 0.502801 0.37476200000000004 0.37184500000000004 0.41401000000000004 0.322237 0.4283510000000001 0.0 0.43050700000000003 0.0
2 NCI-H508 p53 49.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3 MMAc-SF PI3K 49.0 0.4988 0.0 1.0 0.5012 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
4 LB373-MEL-D Zero 49.0 0.502 0.259 0.741 0.498 0.259 0.259 0.259 0.259 1.0 0.741 1.0 0.741
3 MMAc-SF p53 49.0 1.0 0.5046 1.0 0.0 0.5046 0.5046 0.5046 0.5046 1.0 1.0 1.0 1.0
4 LB373-MEL-D BRAF 49.0 0.2534 0.2534 0.0 0.4978 0.2534 0.2534 0.2534 0.2534 1.0 0.0 1.0 0.0
5 SNU-C1 Zero 49.0 0.2556 0.2556 0.0 0.5 0.2556 0.2556 0.2556 0.2556 1.0 0.0 1.0 0.0
4 LB373-MEL-D PI3K 49.0 0.5094 0.0 1.0 0.4906 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
5 SNU-C1 BRAF 49.0 0.2486 0.2486 0.0 0.5076 0.2486 0.2486 0.2486 0.2486 1.0 0.0 1.0 0.0
4 LB373-MEL-D p53 49.0 1.0 0.5012 0.4988 0.0 0.5012 0.5012 0.5012 0.5012 1.0 0.4988 1.0 0.4988
5 SNU-C1 PI3K 49.0 0.0 0.0 0.0 0.4902 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0
6 WM793B Zero 49.0 0.5062 0.2544 1.0 0.4938 0.2544 0.2544 0.2544 0.2544 1.0 1.0 1.0 1.0
5 SNU-C1 p53 49.0 0.487 0.487 0.0 0.0 0.487 0.487 0.487 0.487 1.0 0.0 1.0 0.0
6 WM793B BRAF 49.0 0.217199 0.12951699999999997 0.0 0.507201 0.35977099999999995 0.359805 0.4064549999999999 0.3122069999999999 0.418229 0.0 0.417857 0.0
6 WM793B PI3K 49.0 0.4976 0.0 1.0 0.5024 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
7 COLO-792 Zero 49.0 0.23045000000000004 0.13225900000000004 0.20020400000000005 0.501201 0.365789 0.36185000000000006 0.4117340000000001 0.316589 0.46984699999999996 0.16174600000000006 0.4397500000000001 0.17504400000000003
6 WM793B p53 49.0 1.0 0.5026 1.0 0.0 0.5026 0.5026 0.5026 0.5026 1.0 1.0 1.0 1.0
8 HT-144 Zero 49.0 0.4964 0.249 1.0 0.5036 0.249 0.249 0.249 0.249 1.0 1.0 1.0 1.0
7 COLO-792 BRAF 49.0 0.22608200000000012 0.1348590000000001 0.0 0.497401 0.36885499999999993 0.3668049999999998 0.41742899999999983 0.32075599999999993 0.4278749999999999 0.0 0.42670099999999994 0.0
7 COLO-792 PI3K 49.0 0.14717900000000003 0.0 0.358349 0.49120100000000005 0.0 0.0 0.0 0.0 0.495062 0.278998 0.47678800000000005 0.31274399999999997
8 HT-144 BRAF 49.0 0.2244890000000001 0.129655 0.0 0.495801 0.366586 0.3697190000000001 0.4118880000000001 0.3127310000000001 0.4269290000000001 0.0 0.41940700000000003 0.0
8 HT-144 PI3K 49.0 0.498 0.0 1.0 0.502 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
8 HT-144 p53 49.0 1.0 0.4924 1.0 0.0 0.4924 0.4924 0.4924 0.4924 1.0 1.0 1.0 1.0
7 COLO-792 p53 49.0 0.46311599999999964 0.26493499999999987 0.05382000000000001 0.0 0.723446 0.7285160000000002 0.8213089999999996 0.6383689999999999 0.4378879999999997 0.034203 0.4323589999999997 0.04068899999999999
9 MEL-HO Zero 49.0 0.49560000000000004 0.255 1.0 0.5044 0.255 0.255 0.255 0.255 1.0 1.0 1.0 1.0
10 LOXIMVI Zero 49.0 0.4894 0.2506 1.0 0.5106 0.2506 0.2506 0.2506 0.2506 1.0 1.0 1.0 1.0
9 MEL-HO BRAF 49.0 0.22987399999999997 0.14014100000000002 0.0 0.478801 0.38750000000000007 0.3931769999999999 0.4367029999999999 0.33945200000000003 0.4207709999999999 0.0 0.42232600000000003 0.0
10 LOXIMVI BRAF 49.0 0.23084200000000002 0.13716100000000003 0.0 0.48760100000000006 0.384257 0.382486 0.43248099999999984 0.33252099999999996 0.42425999999999997 0.0 0.4241279999999999 0.0
9 MEL-HO PI3K 49.0 0.5062 0.0 1.0 0.4938 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
10 LOXIMVI PI3K 49.0 0.4962 0.0 1.0 0.5038 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
9 MEL-HO p53 49.0 1.0 0.5004 1.0 0.0 0.5004 0.5004 0.5004 0.5004 1.0 1.0 1.0 1.0
10 LOXIMVI p53 49.0 1.0 0.497 1.0 0.0 0.497 0.497 0.497 0.497 1.0 1.0 1.0 1.0
11 CL-40 Zero 49.0 1.0 0.4998 0.5002 0.0 0.4998 0.4998 0.4998 0.4998 1.0 0.5002 1.0 0.5002
12 G-361 Zero 49.0 0.4918 0.2556 1.0 0.5082 0.2556 0.2556 0.2556 0.2556 1.0 1.0 1.0 1.0
11 CL-40 BRAF 49.0 0.5014 0.5014 0.0 0.0 0.5014 0.5014 0.5014 0.5014 1.0 0.0 1.0 0.0
11 CL-40 PI3K 49.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
