n_profile Patient_ID Drug_ID Time FGFR2 FRS2 TSC2 mTOR RHEB SOX10 FOXD3 ERBB3 ERBB2 ATM p53 p21 MDM2
0 SK-MEL-5 Zero 49.0 0.514 0.514 0.75 0.25 0.25 0.504 0.0 0.0 1.0 0.48600000000000004 0.48600000000000004 0.48600000000000004 0.0
1 SK-MEL-31 Zero 49.0 0.4946 0.4946 0.7592 0.2408 0.2408 0.5002 0.0 0.0 0.0 0.5092 0.5092 0.5092 0.0
0 SK-MEL-5 BRAF 49.0 0.4985999999999999 0.4985999999999999 0.6368509999999998 0.36565899999999985 0.3646929999999999 0.5023999999999998 0.2735979999999999 0.2752969999999999 1.000002 0.504402 0.504402 0.504402 0.0
1 SK-MEL-31 BRAF 49.0 0.5016009999999999 0.5016009999999999 0.632931 0.364603 0.36152599999999996 0.49939999999999984 0.28251499999999996 0.2796539999999999 0.15759999999999996 0.5038009999999999 0.5038009999999999 0.5038009999999999 0.0
0 SK-MEL-5 PI3K 49.0 0.4926 0.4926 1.0 0.0 0.0 0.5085999999999999 0.0 0.0 1.0 0.49599999999999994 0.49599999999999994 0.49599999999999994 0.0
1 SK-MEL-31 PI3K 49.0 0.49679999999999996 0.49679999999999996 1.0 0.0 0.0 0.5044 0.0 0.0 0.0 0.5012 0.5012 0.5012 0.0
0 SK-MEL-5 p53 49.0 0.4999999999999999 0.4999999999999999 0.503 0.497 0.497 0.51 0.0 0.0 1.0 0.51 0.0 0.0 0.0
1 SK-MEL-31 p53 49.0 0.5034 0.5034 0.5026 0.49739999999999995 0.49739999999999995 0.5018 0.0 0.0 0.0 0.48479999999999995 0.0 0.0 0.0
2 A2058 Zero 49.0 0.5087999999999999 0.5087999999999999 0.5075999999999999 0.49240000000000006 0.49240000000000006 0.5 0.0 0.0 0.0 0.5128 0.0 0.0 0.0
3 CP50-MEL-B Zero 49.0 0.4894 0.4894 0.7505999999999999 0.2494 0.2494 0.506 0.0 0.0 0.0 0.5018 0.5018 0.5018 0.0
2 A2058 BRAF 49.0 0.4978 0.4978 0.5068 0.49319999999999997 0.49319999999999997 0.5158 0.0 0.0 0.0 0.5084 0.0 0.0 0.0
2 A2058 PI3K 49.0 0.5034000000000001 0.5034000000000001 1.0 0.0 0.0 0.496 0.0 0.0 0.0 0.5025999999999999 0.0 0.0 0.0
