n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 WM35 Zero 49.0 0.557066 0.330742
0 WM35 BRAF 49.5 0.19866899999999998 0.131577
0 WM35 PI3K 49.0 0.526387 0.0
1 A101D Zero 49.0 0.627818 0.442157
0 WM35 p53 49.0 1.0 0.772014
2 IGR-37 Zero 49.0 0.917491 0.395756
1 A101D BRAF 49.0 0.195787 0.13005
2 IGR-37 BRAF 49.0 0.5266109999999999 0.323721
1 A101D PI3K 49.0 0.496 0.0
2 IGR-37 PI3K 49.0 0.889811 0.0
1 A101D p53 49.0 1.0 0.694379
2 IGR-37 p53 49.0 1.0 0.4826
3 COLO-792 Zero 49.0 0.160052 0.092007
3 COLO-792 BRAF 49.0 0.177201 0.107237
4 A375 Zero 49.0 0.5008 0.159981
3 COLO-792 PI3K 49.0 0.107205 0.0
4 A375 BRAF 49.0 0.160271 0.091559
3 COLO-792 p53 49.0 0.184533 0.101425
4 A375 PI3K 49.0 0.4964 0.0
5 COLO-320-HSR Zero 49.0 0.652869 0.499718
4 A375 p53 49.0 1.0 0.307201
5 COLO-320-HSR BRAF 49.0 0.653398 0.498601
6 SK-MEL-5 Zero 49.0 0.515212 0.255091
5 COLO-320-HSR PI3K 49.0 0.657604 0.0
5 COLO-320-HSR p53 49.0 0.649835 0.508213
6 SK-MEL-5 BRAF 49.0 0.045865 0.026894
6 SK-MEL-5 PI3K 49.0 0.510177 0.0
7 MMAc-SF Zero 49.0 0.7544580000000001 0.374097
6 SK-MEL-5 p53 49.0 0.9990000000000001 0.483883
7 MMAc-SF BRAF 49.5 0.063762 0.045235
8 IST-MEL1 Zero 49.0 1.0 0.851329
7 MMAc-SF PI3K 49.0 0.729979 0.0
8 IST-MEL1 BRAF 49.5 0.720429 0.664394
7 MMAc-SF p53 49.0 1.0 0.4912
8 IST-MEL1 PI3K 49.0 1.0 0.0
9 SNU-61 Zero 49.0 0.7190650000000001 0.335693
8 IST-MEL1 p53 49.0 1.0 0.848821
9 SNU-61 BRAF 49.0 0.530644 0.340945
9 SNU-61 PI3K 49.0 0.841764 0.0
10 CL-11 Zero 49.0 0.5592509999999999 0.248456
9 SNU-61 p53 49.0 0.718973 0.329227
10 CL-11 BRAF 49.0 0.44464000000000004 0.247803
10 CL-11 PI3K 49.0 0.540511 0.0
11 SK-MEL-1 Zero 49.0 0.585557 0.312317
10 CL-11 p53 49.0 0.9996259999999999 0.486141
11 SK-MEL-1 BRAF 49.0 0.177794 0.140703
12 SK-MEL-2 Zero 49.0 0.992775 0.957722
11 SK-MEL-1 PI3K 49.0 0.564277 0.013403
12 SK-MEL-2 BRAF 49.0 0.983996 0.964133
11 SK-MEL-1 p53 49.0 0.993256 0.521398
12 SK-MEL-2 PI3K 49.0 0.998137 0.0
13 VMRC-MELG Zero 49.0 0.80934 0.383258
12 SK-MEL-2 p53 49.0 0.992649 0.956139
13 VMRC-MELG BRAF 49.0 0.346363 0.197974
14 HCC2998 Zero 49.0 0.939748 0.891773
14 HCC2998 BRAF 49.0 0.9408179999999999 0.885126
13 VMRC-MELG PI3K 49.0 0.637595 0.008653
14 HCC2998 PI3K 49.0 0.6446940000000001 0.375138
13 VMRC-MELG p53 49.0 0.9678869999999999 0.481252
14 HCC2998 p53 49.0 1.0 0.901229
15 SNU-C2B Zero 49.0 1.0 0.849025
15 SNU-C2B BRAF 49.0 0.907332 0.843731
16 SW620 Zero 49.0 0.9998 0.527304
15 SNU-C2B PI3K 49.0 0.999768 0.377993
16 SW620 BRAF 49.0 0.822927 0.518007
15 SNU-C2B p53 49.0 0.999051 0.842708
16 SW620 PI3K 49.0 0.9998 0.0151
17 SNU-C5 Zero 49.0 0.9984 0.910009
16 SW620 p53 49.0 1.0 0.526923
17 SNU-C5 BRAF 49.0 0.812989 0.714359
18 NCI-H747 Zero 49.0 0.990369 0.819396
17 SNU-C5 PI3K 49.0 0.9985999999999999 0.0174
18 NCI-H747 BRAF 49.0 0.896109 0.814073
17 SNU-C5 p53 49.0 0.9994000000000001 0.903066
18 NCI-H747 PI3K 49.0 0.9924130000000001 0.013376
19 SW626 Zero 49.0 0.617434 0.381334
18 NCI-H747 p53 49.0 0.989656 0.813502
19 SW626 BRAF 49.0 0.536546 0.383579
20 CHL-1 Zero 49.5 0.839785 0.788173
19 SW626 PI3K 49.0 0.440942 0.010636
20 CHL-1 BRAF 49.5 0.8483740000000001 0.797243
19 SW626 p53 49.0 0.9986250000000001 0.563984
20 CHL-1 PI3K 49.5 0.826978 0.0
21 CP66-MEL Zero 49.0 0.40581 0.300806
21 CP66-MEL BRAF 49.0 0.379023 0.296479
20 CHL-1 p53 49.5 0.8452770000000001 0.790486
21 CP66-MEL PI3K 49.0 0.351798 0.010676
22 SK-MEL-31 Zero 49.0 0.879404 0.702934
21 CP66-MEL p53 49.0 0.9866759999999999 0.730424
22 SK-MEL-31 BRAF 49.0 0.13833299999999998 0.093842
22 SK-MEL-31 PI3K 49.0 0.800352 0.0
23 CCK-81 Zero 49.0 0.549427 0.463706
22 SK-MEL-31 p53 49.0 0.984312 0.775527
23 CCK-81 BRAF 49.0 0.55949 0.466126
24 HT-29 Zero 49.0 1.0 0.917725
24 HT-29 BRAF 49.0 0.18676299999999998 0.158216
23 CCK-81 PI3K 49.0 0.184238 0.0
24 HT-29 PI3K 49.0 1.0 0.251569
24 HT-29 p53 49.0 1.0 0.917865
23 CCK-81 p53 49.0 0.56572 0.470345
25 SNU-175 Zero 49.0 0.546416 0.32767
25 SNU-175 BRAF 49.0 0.446945 0.345244
26 NCI-H508 Zero 49.0 0.8629009999999999 0.284881
26 NCI-H508 BRAF 49.0 0.018053 0.005019
25 SNU-175 PI3K 49.0 0.5385340000000001 0.100045
26 NCI-H508 PI3K 49.0 0.840934 0.0
25 SNU-175 p53 49.0 0.859939 0.547798
26 NCI-H508 p53 49.0 0.856284 0.285606
27 RKO Zero 49.0 1.0 1.0
27 RKO BRAF 49.0 0.339564 0.305007
28 G-MEL Zero 49.0 0.980362 0.196764
27 RKO PI3K 49.0 0.530362 0.0
28 G-MEL BRAF 49.5 0.019206 0.006427
27 RKO p53 49.0 1.0 0.9998
28 G-MEL PI3K 49.0 0.97674 0.0
29 Hs-940-T Zero 49.0 0.633839 0.24059
28 G-MEL p53 49.0 0.9978530000000001 0.224632
29 Hs-940-T BRAF 49.0 0.278719 0.244803
30 HT-144 Zero 49.0 0.662181 0.45452
29 Hs-940-T PI3K 49.0 0.623339 0.0
30 HT-144 BRAF 49.0 0.40595400000000004 0.294625
29 Hs-940-T p53 49.0 0.834024 0.325897
30 HT-144 PI3K 49.0 0.636348 0.0
31 UACC-62 Zero 49.0 0.405104 0.040105
30 HT-144 p53 49.0 1.0 0.769419
31 UACC-62 BRAF 49.0 0.019236 0.006028
31 UACC-62 PI3K 49.0 0.380729 0.0
32 WM-115 Zero 49.0 0.615254 0.422147
31 UACC-62 p53 49.0 1.0 0.074241
32 WM-115 BRAF 49.0 0.211536 0.151974
33 KM12 Zero 49.0 0.184777 0.072851
32 WM-115 PI3K 49.0 0.559268 0.0
33 KM12 BRAF 49.0 0.171151 0.073217
32 WM-115 p53 49.0 0.9775119999999999 0.715109
33 KM12 PI3K 49.0 0.173598 0.0
34 G-361 Zero 49.0 0.534689 0.396826
33 KM12 p53 49.0 0.185442 0.073445
34 G-361 BRAF 49.0 0.333006 0.273766
35 MDST8 Zero 49.0 0.479552 0.209371
34 G-361 PI3K 49.0 0.27194 0.0
34 G-361 p53 49.0 1.0 0.614352
35 MDST8 BRAF 49.0 0.09321199999999999 0.051682
35 MDST8 PI3K 49.0 0.453589 0.0
36 SW1417 Zero 49.0 0.6442060000000001 0.382214
35 MDST8 p53 49.0 0.9946809999999999 0.441135
36 SW1417 BRAF 49.0 0.41845699999999997 0.307162
37 SNU-81 Zero 49.0 0.885852 0.615566
36 SW1417 PI3K 49.0 0.631708 0.0
37 SNU-81 BRAF 49.0 0.851404 0.625522
36 SW1417 p53 49.0 1.0 0.604155
37 SNU-81 PI3K 49.0 0.694074 0.2199
38 SNU-C1 Zero 49.0 0.754094 0.609746
37 SNU-81 p53 49.0 0.997657 0.620377
38 SNU-C1 BRAF 49.0 0.744806 0.616011
39 MZ7-mel Zero 49.0 0.761609 0.223513
38 SNU-C1 PI3K 49.0 0.58145 0.415388
39 MZ7-mel BRAF 49.5 0.155055 0.072648
38 SNU-C1 p53 49.0 0.939225 0.721482
39 MZ7-mel PI3K 49.0 0.6373110000000001 0.011055
39 MZ7-mel p53 49.0 1.0 0.506337
40 GP5d Zero 49.0 1.0 0.865305
40 GP5d BRAF 49.0 0.9996 0.864822
41 HCT-15 Zero 49.0 1.0 0.994441
40 GP5d PI3K 49.0 0.6552020000000001 0.103199
41 HCT-15 BRAF 49.0 1.0 0.993676
40 GP5d p53 49.0 1.0 0.861393
41 HCT-15 PI3K 49.0 0.9994160000000001 0.269781
42 Mewo Zero 49.0 0.544636 0.217691
41 HCT-15 p53 49.0 1.0 0.995222
42 Mewo BRAF 49.0 0.525851 0.227726
43 SK-MEL-24 Zero 49.0 0.867558 0.711862
42 Mewo PI3K 49.0 0.476156 0.0
43 SK-MEL-24 BRAF 49.0 0.055453 0.04272
42 Mewo p53 49.0 0.597593 0.372861
43 SK-MEL-24 PI3K 49.0 0.7124 0.0
44 MEL-JUSO Zero 49.0 0.609167 0.281091
43 SK-MEL-24 p53 49.0 1.0 0.808376
44 MEL-JUSO BRAF 49.0 0.27797700000000003 0.265172
44 MEL-JUSO PI3K 49.0 0.563388 0.0
45 WM793B Zero 49.0 0.55362 0.296896
44 MEL-JUSO p53 49.0 0.895128 0.417567
45 WM793B BRAF 49.5 0.21465099999999998 0.150054
46 MZ2-MEL Zero 49.0 0.47947 0.315122
45 WM793B PI3K 49.0 0.425678 0.0114
46 MZ2-MEL BRAF 49.0 0.45394100000000004 0.319409
46 MZ2-MEL PI3K 49.0 0.2986 0.0
45 WM793B p53 49.0 0.821202 0.40744
46 MZ2-MEL p53 49.0 0.972028 0.676492
47 SW1116 Zero 49.0 0.577851 0.376053
47 SW1116 BRAF 49.0 0.5471889999999999 0.369598
47 SW1116 PI3K 49.0 0.559207 0.179139
48 HT-115 Zero 49.0 0.828796 0.783558
47 SW1116 p53 49.0 0.736827 0.469108
48 HT-115 BRAF 49.0 0.8251689999999999 0.776971
49 RVH-421 Zero 49.0 0.6507590000000001 0.386099
48 HT-115 PI3K 49.0 0.53129 0.342701
49 RVH-421 BRAF 49.5 0.167327 0.0913
48 HT-115 p53 49.0 0.833191 0.777379
49 RVH-421 PI3K 49.0 0.561897 0.0
50 SK-MEL-30 Zero 49.0 0.788061 0.467244
49 RVH-421 p53 49.0 0.999568 0.892572
50 SK-MEL-30 BRAF 49.0 0.73585 0.468214
50 SK-MEL-30 PI3K 49.0 0.785238 0.0
51 COLO-205 Zero 49.0 0.47653999999999996 0.199302
50 SK-MEL-30 p53 49.0 1.0 0.711601
51 COLO-205 BRAF 49.0 0.038311 0.014086
52 M14 Zero 49.0 1.0 0.867541
51 COLO-205 PI3K 49.0 0.448472 0.153643
52 M14 BRAF 49.5 0.793165 0.703119
51 COLO-205 p53 49.0 1.0 0.23824
52 M14 PI3K 49.0 1.0 0.0
52 M14 p53 49.0 1.0 0.864725
53 HT55 Zero 49.0 0.791477 0.303211
53 HT55 BRAF 49.0 0.628603 0.24473
54 LS-180 Zero 49.0 0.9876 0.528891
53 HT55 PI3K 49.0 0.7881769999999999 0.191583
54 LS-180 BRAF 49.0 0.986622 0.547887
53 HT55 p53 49.0 1.0 0.350931
54 LS-180 PI3K 49.0 0.706243 0.200422
54 LS-180 p53 49.0 1.0 0.541858
55 SW837 Zero 49.0 0.56467 0.440582
55 SW837 BRAF 49.0 0.461952 0.364899
56 IPC-298 Zero 49.0 0.8295159999999999 0.467362
55 SW837 PI3K 49.0 0.725155 0.064834
56 IPC-298 BRAF 49.0 0.676859 0.4859
55 SW837 p53 49.0 0.577885 0.450004
56 IPC-298 PI3K 49.0 0.813942 0.0
56 IPC-298 p53 49.0 0.9936179999999999 0.694819
57 SW1463 Zero 49.0 0.975406 0.56341
57 SW1463 BRAF 49.0 0.770859 0.584104
57 SW1463 PI3K 49.0 0.982793 0.191064
58 CW-2 Zero 49.5 0.17533100000000001 0.067408
57 SW1463 p53 49.0 0.979192 0.565537
58 CW-2 BRAF 49.5 0.142712 0.068977
59 T84 Zero 49.0 0.978424 0.635641
59 T84 BRAF 49.0 0.9785699999999999 0.626246
58 CW-2 PI3K 49.5 0.103867 0.0
59 T84 PI3K 49.0 0.562714 0.0
59 T84 p53 49.0 0.9998 0.64653
58 CW-2 p53 49.5 0.286361 0.138793
60 HCT-116 Zero 49.0 0.9694510000000001 0.898984
60 HCT-116 BRAF 49.0 0.965541 0.888329
61 LoVo Zero 49.0 0.5372 0.234413
