n_profile Patient_ID Drug_ID Time RAS SOS GRB2 SPRY PI3K GAB1 EGF EGFR HGF MET CRAF FGF
0 SNU-C2B Zero 49.0 1.0000010000000001 0.37619600000000003 0.0 1.0000010000000001 0.6795009999999999 0.491919 0.5174010000000001 0.5863459999999998 0.500201 0.492089 1.0000010000000001 0.0546
0 SNU-C2B BRAF 49.0 0.9999999999999999 0.3641869999999999 0.0 0.9999999999999999 0.6759090000000001 0.487326 0.519601 0.574686 0.49920000000000003 0.4874070000000001 0.9999999999999999 0.051
0 SNU-C2B PI3K 49.0 0.999997 0.34859799999999996 0.0 0.999997 0.0 0.487596 0.5219969999999998 0.5916260000000002 0.49739799999999995 0.4877119999999999 0.999997 0.058198999999999994
0 SNU-C2B p53 49.0 1.0000010000000004 0.36670899999999995 0.0 1.0000010000000004 0.6848540000000001 0.49388499999999985 0.5172019999999997 0.575257 0.5000009999999997 0.49400099999999986 1.0000010000000004 0.05759999999999999
1 SK-MEL-2 Zero 49.0 0.9999989999999999 0.000501 0.0004 0.9997989999999999 0.966691 0.522087 0.29300000000000004 0.0 0.5117999999999999 0.5114 0.9999989999999999 0.0812
1 SK-MEL-2 BRAF 49.0 1.0 0.0002 0.0006000000000000001 1.0 0.971041 0.520717 0.2888 0.0 0.5108 0.5102 1.0 0.0788
1 SK-MEL-2 PI3K 49.0 0.9999999999999999 0.0002 0.0002 0.9997999999999999 0.0 0.5130629999999999 0.2832 0.0 0.5052 0.5048 0.9999999999999999 0.0776
1 SK-MEL-2 p53 49.0 0.9999999999999998 0.0002 0.0004 0.9997999999999998 0.9661999999999997 0.5175999999999998 0.2904 0.0 0.5057999999999999 0.5054 0.9999999999999998 0.07819999999999999
2 WM35 Zero 49.0 0.0 0.0 0.0 1.0000010000000001 0.327115 0.31689500000000004 0.1798 0.0 0.5062010000000001 0.31746900000000006 0.0002 0.0
2 WM35 BRAF 49.5 0.02808799999999999 0.10183399999999998 0.2507020000000001 0.35393600000000014 0.4176419999999999 0.32041000000000003 0.17699700000000002 0.0 0.5075990000000001 0.3211000000000001 0.16359100000000007 0.0
2 WM35 PI3K 49.0 0.0 0.0 0.0 0.9999999999999999 0.0 0.307173 0.1748 0.0 0.48979999999999996 0.307762 0.001 0.0
