n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 C32 Zero 49.0 0.430465 0.290367
0 C32 BRAF 49.0 0.321709 0.216466
0 C32 PI3K 49.0 0.352917 0.0
1 SW1417 Zero 49.0 0.47961200000000004 0.384693
0 C32 p53 49.0 0.500247 0.351269
1 SW1417 BRAF 49.0 0.46811400000000003 0.380676
2 SK-MEL-31 Zero 49.0 0.150568 0.077573
1 SW1417 PI3K 49.0 0.112127 0.0
2 SK-MEL-31 BRAF 49.0 0.130432 0.083736
2 SK-MEL-31 PI3K 49.0 0.188285 0.0
1 SW1417 p53 49.0 0.682672 0.561589
2 SK-MEL-31 p53 49.0 0.17797600000000002 0.091675
3 SK-MEL-24 Zero 49.0 0.059997999999999996 0.038362
3 SK-MEL-24 BRAF 49.0 0.049363 0.036236
4 IHH-4 Zero 49.0 0.291752 0.120568
3 SK-MEL-24 PI3K 49.0 0.032445 0.0
3 SK-MEL-24 p53 49.0 0.062109 0.041512
4 IHH-4 BRAF 49.0 0.303949 0.127339
4 IHH-4 PI3K 49.0 0.233386 0.0
5 UACC-257 Zero 49.0 0.053839000000000005 0.014267
4 IHH-4 p53 49.0 0.571782 0.277802
5 UACC-257 BRAF 49.0 0.036884 0.016389
5 UACC-257 PI3K 49.0 0.04521 0.0
6 SNU-C1 Zero 49.0 0.724073 0.490097
5 UACC-257 p53 49.0 0.084915 0.028881
6 SNU-C1 BRAF 49.0 0.680144 0.459372
7 G-MEL Zero 49.5 0.029678 0.010002
6 SNU-C1 PI3K 49.0 0.627714 0.29331
7 G-MEL BRAF 49.5 0.02521 0.007355
6 SNU-C1 p53 49.0 0.8857220000000001 0.585381
7 G-MEL PI3K 49.5 0.014398 0.0
7 G-MEL p53 49.5 0.031397999999999995 0.008974
8 MEL-HO Zero 49.0 0.12262799999999999 0.065145
8 MEL-HO BRAF 49.0 0.121499 0.067163
8 MEL-HO PI3K 49.0 0.099688 0.0
9 CP50-MEL-B Zero 49.5 0.198594 0.04925
8 MEL-HO p53 49.0 0.160336 0.108074
9 CP50-MEL-B BRAF 49.0 0.215577 0.052917
10 HMV-II Zero 49.5 0.497243 0.236935
9 CP50-MEL-B PI3K 49.0 0.13358 0.002029
10 HMV-II BRAF 49.5 0.495013 0.237879
9 CP50-MEL-B p53 49.0 0.422085 0.182198
10 HMV-II PI3K 49.0 0.302275 0.003666
11 UACC-62 Zero 49.0 0.062234 0.02111
10 HMV-II p53 49.5 0.577216 0.301215
11 UACC-62 BRAF 49.0 0.05898200000000001 0.025086
12 IST-MEL1 Zero 49.0 0.376043 0.267073
11 UACC-62 PI3K 49.0 0.033455 0.0
12 IST-MEL1 BRAF 49.0 0.384907 0.283552
11 UACC-62 p53 49.0 0.106831 0.041701
12 IST-MEL1 PI3K 49.0 0.332347 0.0
12 IST-MEL1 p53 49.0 0.692415 0.643683
13 CW-2 Zero 49.0 0.126462 0.037225
13 CW-2 BRAF 49.0 0.091838 0.035125
14 SW48 Zero 49.0 0.225252 0.137663
13 CW-2 PI3K 49.0 0.073815 0.0
14 SW48 BRAF 49.0 0.16571 0.122737
14 SW48 PI3K 49.0 0.35413 0.006784
13 CW-2 p53 49.0 0.208686 0.07663
14 SW48 p53 49.0 0.48471300000000006 0.300231
15 SK-CO-1 Zero 49.0 0.230574 0.046704
15 SK-CO-1 BRAF 49.0 0.098717 0.042587
16 SNU-C5 Zero 49.0 0.575065 0.406069
15 SK-CO-1 PI3K 49.0 0.225645 0.0
16 SNU-C5 BRAF 49.0 0.567268 0.42142
15 SK-CO-1 p53 49.0 0.267417 0.060336
16 SNU-C5 PI3K 49.0 0.349393 0.009198
16 SNU-C5 p53 49.0 0.7782 0.58366
17 SW1116 Zero 49.0 0.25449299999999997 0.115451
17 SW1116 BRAF 49.0 0.265685 0.116039
17 SW1116 PI3K 49.0 0.347626 0.062794
18 WM-115 Zero 49.0 0.22162700000000002 0.161556
17 SW1116 p53 49.0 0.36328499999999997 0.163109
18 WM-115 BRAF 49.0 0.207394 0.15356
19 KMH-2 Zero 49.0 0.46357800000000005 0.282992
18 WM-115 PI3K 49.0 0.076323 0.0
19 KMH-2 BRAF 49.0 0.361188 0.27173
18 WM-115 p53 49.0 0.3424 0.259192
19 KMH-2 PI3K 49.0 0.438902 0.0
19 KMH-2 p53 49.0 0.564188 0.361007
20 ML-1 Zero 49.0 0.46952000000000005 0.181175
20 ML-1 BRAF 49.0 0.44402700000000006 0.170996
21 Malme-3M Zero 49.0 0.210364 0.11216
20 ML-1 PI3K 49.0 0.460943 0.0
21 Malme-3M BRAF 49.0 0.20868799999999998 0.110638
20 ML-1 p53 49.0 0.558001 0.212779
21 Malme-3M PI3K 49.0 0.190412 0.070163
22 LB373-MEL-D Zero 49.0 0.337169 0.148469
21 Malme-3M p53 49.0 0.263471 0.155085
23 CL-11 Zero 49.0 0.21804600000000002 0.153198
22 LB373-MEL-D BRAF 49.5 0.290971 0.127733
23 CL-11 BRAF 49.0 0.19897199999999998 0.138506
23 CL-11 PI3K 49.0 0.129957 0.0
22 LB373-MEL-D PI3K 49.5 0.24197 0.00527
23 CL-11 p53 49.0 0.35278299999999996 0.282091
22 LB373-MEL-D p53 49.5 0.449156 0.281448
24 LS-411N Zero 49.0 0.20291900000000002 0.10891
24 LS-411N BRAF 49.0 0.184162 0.102538
25 G-361 Zero 49.0 0.44958600000000004 0.377688
24 LS-411N PI3K 49.0 0.158213 0.0
25 G-361 BRAF 49.0 0.45313400000000004 0.383182
25 G-361 PI3K 49.0 0.288245 0.0
24 LS-411N p53 49.0 0.280779 0.158936
25 G-361 p53 49.0 0.776756 0.679795
26 RO82-W-1 Zero 49.0 0.268999 0.209802
26 RO82-W-1 BRAF 49.0 0.246433 0.217647
26 RO82-W-1 PI3K 49.0 0.157188 0.0
27 TT Zero 49.0 0.127355 0.042319
26 RO82-W-1 p53 49.0 0.32851300000000005 0.258209
27 TT BRAF 49.0 0.122517 0.040756
27 TT PI3K 49.0 0.280984 0.0
28 HTC-C3 Zero 49.0 0.5059130000000001 0.194953
27 TT p53 49.0 0.211513 0.074209
28 HTC-C3 BRAF 49.0 0.483819 0.206208
29 K2 Zero 49.0 0.071506 0.040224
28 HTC-C3 PI3K 49.0 0.251172 0.0
29 K2 BRAF 49.0 0.07336000000000001 0.038957
28 HTC-C3 p53 49.0 0.722996 0.297945
29 K2 PI3K 49.0 0.092561 0.0
30 LB2518-MEL Zero 49.0 0.151887 0.062998
29 K2 p53 49.0 0.079675 0.052675
30 LB2518-MEL BRAF 49.0 0.144154 0.058697
31 SNU-407 Zero 49.0 0.218366 0.100077
30 LB2518-MEL PI3K 49.0 0.088091 0.013606
31 SNU-407 BRAF 49.0 0.18471100000000001 0.111452
30 LB2518-MEL p53 49.5 0.24070999999999998 0.097865
31 SNU-407 PI3K 49.0 0.170424 0.0
32 SNU-1040 Zero 49.0 0.527694 0.429175
31 SNU-407 p53 49.0 0.408723 0.21919
32 SNU-1040 BRAF 49.0 0.5172140000000001 0.422161
33 RPMI-7951 Zero 49.0 0.246666 0.168428
32 SNU-1040 PI3K 49.0 0.349435 0.0
33 RPMI-7951 BRAF 49.0 0.22148400000000001 0.168964
32 SNU-1040 p53 49.0 0.815853 0.658672
33 RPMI-7951 PI3K 49.0 0.06633 0.0
34 C2BBe1 Zero 49.5 0.8637319999999999 0.558713
33 RPMI-7951 p53 49.0 0.270495 0.179983
34 C2BBe1 BRAF 49.5 0.860348 0.5667
35 FTC-238 Zero 49.0 0.38016799999999995 0.227648
34 C2BBe1 PI3K 49.5 0.730353 0.158778
35 FTC-238 BRAF 49.0 0.36124500000000004 0.224162
34 C2BBe1 p53 49.5 0.940865 0.608211
