n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 SW620 Zero 49.0 1.0 0.506
1 SNU-61 Zero 49.0 1.0 0.4882
0 SW620 BRAF 49.0 0.4978 0.4978
1 SNU-61 BRAF 49.0 0.495 0.495
0 SW620 PI3K 49.0 1.0 0.0
1 SNU-61 PI3K 49.0 1.0 0.0
0 SW620 p53 49.0 1.0 0.4934
1 SNU-61 p53 49.0 1.0 0.5002
3 RVH-421 Zero 49.0 0.5012 0.242
2 HT-115 Zero 49.0 0.492471 0.354999
3 RVH-421 BRAF 49.0 0.225205 0.132898
2 HT-115 BRAF 49.0 0.477995 0.34348
3 RVH-421 PI3K 49.0 0.4932 0.0
3 RVH-421 p53 49.0 1.0 0.4972
4 COLO-800 Zero 49.0 1.0 0.49
2 HT-115 PI3K 49.0 0.136962 0.0
2 HT-115 p53 49.0 0.48600200000000005 0.348706
4 COLO-800 BRAF 49.0 0.452648 0.272499
4 COLO-800 PI3K 49.0 1.0 0.0
5 RCM-1 Zero 49.0 0.5028 0.2548
4 COLO-800 p53 49.0 1.0 0.509
5 RCM-1 BRAF 49.0 0.2466 0.2466
5 RCM-1 PI3K 49.0 0.503 0.0
6 WM1552C Zero 49.0 1.0 0.4938
5 RCM-1 p53 49.0 1.0 0.5042
7 CP66-MEL Zero 49.0 0.4952 0.2512
6 WM1552C BRAF 49.0 0.427194 0.26106
7 CP66-MEL BRAF 49.0 0.2382 0.2382
6 WM1552C PI3K 49.0 1.0 0.0
7 CP66-MEL PI3K 49.0 0.5046 0.0
6 WM1552C p53 49.0 1.0 0.5082
7 CP66-MEL p53 49.0 1.0 0.5048
8 HCT-15 Zero 49.0 1.0 1.0
9 COLO-205 Zero 49.0 0.5104 0.2446
8 HCT-15 BRAF 49.0 1.0 1.0
8 HCT-15 PI3K 49.0 1.0 0.0
8 HCT-15 p53 49.0 1.0 1.0
9 COLO-205 BRAF 49.0 0.220682 0.129441
9 COLO-205 PI3K 49.0 0.4996 0.0
10 LS-513 Zero 49.0 0.48919999999999997 0.2352
9 COLO-205 p53 49.0 1.0 0.503
10 LS-513 BRAF 49.0 0.245 0.245
10 LS-513 PI3K 49.0 0.5146 0.0
11 MEL-JUSO Zero 49.0 0.499 0.249
10 LS-513 p53 49.0 1.0 0.5098
11 MEL-JUSO BRAF 49.0 0.2494 0.2494
11 MEL-JUSO PI3K 49.0 0.4986 0.0
11 MEL-JUSO p53 49.0 1.0 0.5012
12 CW-2 Zero 49.5 0.26486 0.183329
13 TT2609-C02 Zero 49.0 1.0 0.4974
13 TT2609-C02 BRAF 49.0 0.4958 0.4958
12 CW-2 BRAF 49.5 0.275156 0.198887
13 TT2609-C02 PI3K 49.0 1.0 0.0
13 TT2609-C02 p53 49.0 1.0 0.5022
12 CW-2 PI3K 49.5 0.13851 0.0
14 Mewo Zero 49.0 0.219855 0.127747
12 CW-2 p53 49.5 0.550755 0.399303
15 UACC-257 Zero 49.0 0.4972 0.25
14 Mewo BRAF 49.0 0.225402 0.133809
15 UACC-257 BRAF 49.0 0.219471 0.13416
14 Mewo PI3K 49.0 0.135643 0.0
15 UACC-257 PI3K 49.0 0.5064 0.0
15 UACC-257 p53 49.0 1.0 0.4964
14 Mewo p53 49.0 0.468901 0.273406
16 CaR-1 Zero 49.0 0.473726 0.2811
17 COLO-792 Zero 49.0 0.228713 0.139225
16 CaR-1 BRAF 49.0 0.44921099999999997 0.272485
17 COLO-792 BRAF 49.0 0.23245 0.137609
16 CaR-1 PI3K 49.0 0.293909 0.0
17 COLO-792 PI3K 49.0 0.133134 0.0
16 CaR-1 p53 49.0 0.45445500000000005 0.26112
17 COLO-792 p53 49.0 0.459731 0.264365
18 SNU-C1 Zero 49.0 0.2418 0.2418
19 SW626 Zero 49.0 0.5012000000000001 0.2484
18 SNU-C1 BRAF 49.0 0.2456 0.2456
19 SW626 BRAF 49.0 0.2644 0.2644
18 SNU-C1 PI3K 49.0 0.0 0.0
19 SW626 PI3K 49.0 0.5008 0.0
18 SNU-C1 p53 49.0 0.5008 0.5008
19 SW626 p53 49.0 1.0 0.5006
20 HT-29 Zero 49.0 1.0 1.0
21 HT55 Zero 49.0 0.4992 0.2512
20 HT-29 BRAF 49.0 0.492091 0.361572
20 HT-29 PI3K 49.0 1.0 0.0
