n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 SK-MEL-28 Zero 49.0 1.0 0.457731
0 SK-MEL-28 BRAF 49.0 0.117007 0.07324
0 SK-MEL-28 PI3K 49.0 1.0 0.0
1 CP67-MEL Zero 49.0 0.924677 0.885146
0 SK-MEL-28 p53 49.0 1.0 0.451984
1 CP67-MEL BRAF 49.5 0.699256 0.625691
2 T84 Zero 49.0 0.9814 0.543471
1 CP67-MEL PI3K 49.0 0.631889 0.111252
2 T84 BRAF 49.0 0.983221 0.559851
1 CP67-MEL p53 49.0 0.959742 0.940055
2 T84 PI3K 49.0 0.601988 0.0
3 CL-11 Zero 49.0 0.5935050000000001 0.422088
2 T84 p53 49.0 0.9994 0.552963
3 CL-11 BRAF 49.0 0.57351 0.42799
3 CL-11 PI3K 49.0 0.559056 0.0
4 SW1417 Zero 49.0 0.7119449999999999 0.592513
3 CL-11 p53 49.0 0.999831 0.80194
4 SW1417 BRAF 49.0 0.47108300000000003 0.382676
4 SW1417 PI3K 49.0 0.684045 0.0
5 SW1463 Zero 49.0 0.97862 0.571609
5 SW1463 BRAF 49.0 0.917253 0.586472
4 SW1417 p53 49.0 1.0 0.835697
5 SW1463 PI3K 49.0 0.9813590000000001 0.168854
6 CW-2 Zero 49.5 0.139054 0.045044
5 SW1463 p53 49.0 0.976515 0.583316
7 SW948 Zero 49.0 0.9965999999999999 0.529733
6 CW-2 BRAF 49.5 0.104047 0.047599
7 SW948 BRAF 49.0 0.996713 0.542132
6 CW-2 PI3K 49.5 0.092382 0.0
7 SW948 PI3K 49.0 0.660799 0.010189
7 SW948 p53 49.0 0.9994000000000001 0.541718
6 CW-2 p53 49.5 0.238951 0.100101
8 UACC-257 Zero 49.0 0.629092 0.184159
8 UACC-257 BRAF 49.0 0.03981 0.016537
8 UACC-257 PI3K 49.0 0.592346 0.0
9 ASH-3 Zero 49.0 0.958673 0.28776
8 UACC-257 p53 49.0 1.0 0.30815
9 ASH-3 BRAF 49.0 0.45834800000000003 0.287127
