n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 GAK Zero 49.5 0.019132 0.007895
0 GAK BRAF 49.5 0.020038 0.005432
0 GAK PI3K 49.5 0.035329 0.0
1 LoVo Zero 49.0 0.282059 0.154367
0 GAK p53 49.5 0.02602 0.012369
1 LoVo BRAF 49.0 0.261367 0.155621
2 SH-4 Zero 49.0 0.10714599999999999 0.074886
1 LoVo PI3K 49.0 0.223094 0.0
2 SH-4 BRAF 49.0 0.097874 0.08013
1 LoVo p53 49.0 0.565391 0.307234
2 SH-4 PI3K 49.0 0.102591 0.0
2 SH-4 p53 49.0 0.23154199999999997 0.157155
3 SW626 Zero 49.0 0.277775 0.186531
3 SW626 BRAF 49.0 0.266409 0.192223
4 COLO-792 Zero 49.0 0.09423000000000001 0.052428
3 SW626 PI3K 49.0 0.230868 0.003651
4 COLO-792 BRAF 49.0 0.088777 0.051058
3 SW626 p53 49.0 0.435392 0.277314
4 COLO-792 PI3K 49.0 0.061888 0.0
5 MZ2-MEL Zero 49.5 0.11315900000000001 0.066054
4 COLO-792 p53 49.0 0.193323 0.108766
5 MZ2-MEL BRAF 49.5 0.115509 0.069452
6 RPMI-7951 Zero 49.0 0.275024 0.205119
5 MZ2-MEL PI3K 49.5 0.00633 0.0
5 MZ2-MEL p53 49.5 0.186055 0.111706
6 RPMI-7951 BRAF 49.0 0.248929 0.198215
7 GP5d Zero 49.0 0.5008009999999999 0.236673
6 RPMI-7951 PI3K 49.0 0.0515 0.0
7 GP5d BRAF 49.0 0.37836000000000003 0.234995
6 RPMI-7951 p53 49.0 0.337354 0.239045
7 GP5d PI3K 49.0 0.496994 0.086352
8 SK-MEL-31 Zero 49.0 0.130165 0.081296
7 GP5d p53 49.0 0.872923 0.358351
8 SK-MEL-31 BRAF 49.0 0.11768899999999999 0.075218
9 MEL-JUSO Zero 49.0 0.157563 0.14787
9 MEL-JUSO BRAF 49.0 0.153688 0.143339
8 SK-MEL-31 PI3K 49.0 0.112674 0.0
9 MEL-JUSO PI3K 49.0 0.005137 0.0
8 SK-MEL-31 p53 49.0 0.169098 0.107154
9 MEL-JUSO p53 49.0 0.30599000000000004 0.28605
10 COLO-829 Zero 49.0 0.025257 0.011899
10 COLO-829 BRAF 49.0 0.023039 0.010708
11 SK-MEL-1 Zero 49.0 0.152151 0.117345
10 COLO-829 PI3K 49.0 0.048986 0.0
10 COLO-829 p53 49.0 0.026668999999999998 0.01426
11 SK-MEL-1 BRAF 49.0 0.143159 0.115536
11 SK-MEL-1 PI3K 49.0 0.155082 0.003368
