n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 HCT-116 Zero 49.0 1.0 1.0
1 HT55 Zero 49.0 0.5048 0.262
0 HCT-116 BRAF 49.0 1.0 1.0
0 HCT-116 PI3K 49.0 0.503 0.0
1 HT55 BRAF 49.0 0.23173499999999997 0.13928
0 HCT-116 p53 49.0 1.0 1.0
1 HT55 PI3K 49.0 0.502 0.0
2 CP50-MEL-B Zero 49.0 0.4998 0.2478
1 HT55 p53 49.0 1.0 0.5046
3 HCC2998 Zero 49.0 0.7402 0.4986
2 CP50-MEL-B BRAF 49.0 0.21202 0.127634
3 HCC2998 BRAF 49.0 0.7514 0.5044
2 CP50-MEL-B PI3K 49.0 0.5108 0.0
3 HCC2998 PI3K 49.0 0.5048 0.0
3 HCC2998 p53 49.0 1.0 0.5142
2 CP50-MEL-B p53 49.0 1.0 0.506
4 LS-513 Zero 49.0 0.4878 0.242
5 SW1417 Zero 49.0 0.505 0.254
4 LS-513 BRAF 49.0 0.2618 0.2618
4 LS-513 PI3K 49.0 0.4764 0.0
5 SW1417 BRAF 49.0 0.235753 0.141812
4 LS-513 p53 49.0 1.0 0.5066
5 SW1417 PI3K 49.0 0.521 0.0
6 GP5d Zero 49.0 1.0 1.0
5 SW1417 p53 49.0 1.0 0.5132
6 GP5d BRAF 49.0 1.0 1.0
7 RKO Zero 49.0 1.0 1.0
6 GP5d PI3K 49.0 0.496 0.0
6 GP5d p53 49.0 1.0 1.0
7 RKO BRAF 49.0 0.5062099999999999 0.368839
8 SK-MEL-31 Zero 49.0 0.503 0.255
7 RKO PI3K 49.0 0.498 0.0
7 RKO p53 49.0 1.0 1.0
8 SK-MEL-31 BRAF 49.0 0.219908 0.131771
9 LB373-MEL-D Zero 49.0 0.502 0.2458
8 SK-MEL-31 PI3K 49.0 0.499 0.0
9 LB373-MEL-D BRAF 49.0 0.2404 0.2404
8 SK-MEL-31 p53 49.0 1.0 0.504
9 LB373-MEL-D PI3K 49.0 0.512 0.0
9 LB373-MEL-D p53 49.0 1.0 0.4962
10 COLO-792 Zero 49.0 0.23449399999999998 0.136043
11 RPMI-7951 Zero 49.0 0.4908 0.248
10 COLO-792 BRAF 49.0 0.224483 0.133185
11 RPMI-7951 BRAF 49.0 0.224786 0.136251
11 RPMI-7951 PI3K 49.0 0.5026 0.0
11 RPMI-7951 p53 49.0 1.0 0.5068
10 COLO-792 PI3K 49.0 0.139251 0.0
12 SW948 Zero 49.0 1.0 1.0
12 SW948 BRAF 49.0 1.0 1.0
10 COLO-792 p53 49.0 0.46123800000000004 0.259517
12 SW948 PI3K 49.0 0.499 0.0
12 SW948 p53 49.0 1.0 1.0
13 VMRC-MELG Zero 49.0 0.48960000000000004 0.2356
14 CL-40 Zero 49.0 0.4876 0.2418
13 VMRC-MELG BRAF 49.0 0.219986 0.134623
14 CL-40 BRAF 49.0 0.2572 0.2572
13 VMRC-MELG PI3K 49.0 0.5108 0.0
14 CL-40 PI3K 49.0 0.5002 0.0
13 VMRC-MELG p53 49.0 1.0 0.507
14 CL-40 p53 49.0 1.0 0.5044
16 T84 Zero 49.0 1.0 1.0
15 COLO-800 Zero 49.0 0.4942 0.2446
16 T84 BRAF 49.0 1.0 1.0
16 T84 PI3K 49.0 0.5118 0.0
15 COLO-800 BRAF 49.0 0.220546 0.138867
16 T84 p53 49.0 1.0 1.0
15 COLO-800 PI3K 49.0 0.4948 0.0
17 UACC-62 Zero 49.0 0.5074 0.2572
15 COLO-800 p53 49.0 1.0 0.5004
18 MEL-JUSO Zero 49.0 0.4966 0.2394
17 UACC-62 BRAF 49.0 0.22102100000000002 0.13259
18 MEL-JUSO BRAF 49.0 0.2438 0.2438
17 UACC-62 PI3K 49.0 0.513 0.0
18 MEL-JUSO PI3K 49.0 0.496 0.0
17 UACC-62 p53 49.0 1.0 0.4926
18 MEL-JUSO p53 49.0 1.0 0.4872
19 C32 Zero 49.0 0.5 0.2512
20 HT-115 Zero 49.0 0.486507 0.357422
19 C32 BRAF 49.0 0.22294199999999997 0.130843
20 HT-115 BRAF 49.0 0.49711400000000006 0.356235
19 C32 PI3K 49.0 0.4988 0.0
19 C32 p53 49.0 1.0 0.5004
21 SW626 Zero 49.0 0.5104 0.2506
20 HT-115 PI3K 49.0 0.147904 0.0
21 SW626 BRAF 49.0 0.251 0.251
21 SW626 PI3K 49.0 0.497 0.0
20 HT-115 p53 49.0 0.497602 0.367037
21 SW626 p53 49.0 1.0 0.4946
22 COLO-679 Zero 49.0 0.4938 0.2392
23 CHL-1 Zero 49.0 0.232248 0.136262
22 COLO-679 BRAF 49.0 0.225916 0.136278
22 COLO-679 PI3K 49.0 0.5046 0.0
22 COLO-679 p53 49.0 1.0 0.506
23 CHL-1 BRAF 49.0 0.23538399999999998 0.14014
23 CHL-1 PI3K 49.0 0.131176 0.0
24 Mewo Zero 49.0 0.23219099999999998 0.133951
23 CHL-1 p53 49.0 0.47019200000000005 0.275859
24 Mewo BRAF 49.0 0.224361 0.137271
25 WM35 Zero 49.0 0.4974 0.248
24 Mewo PI3K 49.0 0.145681 0.0
25 WM35 BRAF 49.0 0.224386 0.137962
25 WM35 PI3K 49.0 0.5002 0.0
24 Mewo p53 49.0 0.45079 0.257376
