n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 LS-180 Zero 49.0 0.989869 0.535782
0 LS-180 BRAF 49.0 0.992013 0.537231
0 LS-180 PI3K 49.0 0.683016 0.200481
0 LS-180 p53 49.0 1.0 0.543418
1 CW-2 Zero 49.5 0.14391700000000002 0.066632
2 COLO-205 Zero 49.0 0.619426 0.217102
1 CW-2 BRAF 49.5 0.12024099999999999 0.068211
2 COLO-205 BRAF 49.0 0.06365 0.020896
2 COLO-205 PI3K 49.0 0.592513 0.134649
1 CW-2 PI3K 49.5 0.072098 0.0
2 COLO-205 p53 49.0 1.0 0.229234
1 CW-2 p53 49.5 0.278617 0.129522
3 C32 Zero 49.0 0.819304 0.395334
3 C32 BRAF 49.0 0.21754099999999998 0.150369
4 LOXIMVI Zero 49.0 0.503719 0.208375
3 C32 PI3K 49.0 0.703585 0.0
3 C32 p53 49.0 1.0 0.491256
4 LOXIMVI BRAF 49.0 0.216387 0.124492
5 SNU-81 Zero 49.0 0.8572010000000001 0.611963
4 LOXIMVI PI3K 49.0 0.501484 0.0
5 SNU-81 BRAF 49.0 0.8321390000000001 0.605527
4 LOXIMVI p53 49.0 0.996436 0.418817
5 SNU-81 PI3K 49.0 0.630711 0.218299
5 SNU-81 p53 49.0 0.9985900000000001 0.61353
6 COLO-792 Zero 49.0 0.084318 0.051635
6 COLO-792 BRAF 49.0 0.08755 0.049924
6 COLO-792 PI3K 49.0 0.055153 0.0
7 LS1034 Zero 49.0 0.560057 0.153788
7 LS1034 BRAF 49.0 0.249342 0.147519
6 COLO-792 p53 49.0 0.181182 0.106889
7 LS1034 PI3K 49.0 0.548027 0.084619
8 CHL-1 Zero 49.5 0.645752 0.580097
7 LS1034 p53 49.0 0.9845109999999999 0.229647
8 CHL-1 BRAF 49.5 0.638088 0.573093
9 T84 Zero 49.0 0.964772 0.622668
9 T84 BRAF 49.0 0.9701110000000001 0.647136
8 CHL-1 PI3K 49.5 0.415685 0.0
9 T84 PI3K 49.0 0.439847 0.0
8 CHL-1 p53 49.5 0.850606 0.796337
9 T84 p53 49.0 0.9995999999999999 0.642353
10 HT-144 Zero 49.0 0.578306 0.379901
10 HT-144 BRAF 49.0 0.354868 0.257325
10 HT-144 PI3K 49.0 0.5689679999999999 0.0004
11 SNU-407 Zero 49.0 0.968726 0.944327
10 HT-144 p53 49.0 1.0 0.759794
11 SNU-407 BRAF 49.0 0.968113 0.944623
11 SNU-407 PI3K 49.0 0.496271 0.0
12 SK-MEL-28 Zero 49.0 0.856613 0.380609
11 SNU-407 p53 49.0 0.98252 0.950236
12 SK-MEL-28 BRAF 49.0 0.08359 0.0557
12 SK-MEL-28 PI3K 49.0 0.5118 0.0
13 WM35 Zero 49.0 0.639426 0.394667
12 SK-MEL-28 p53 49.0 1.0 0.372432
13 WM35 BRAF 49.5 0.219406 0.152333
13 WM35 PI3K 49.0 0.590853 0.0
14 SNU-61 Zero 49.0 0.361121 0.17317
13 WM35 p53 49.0 1.0 0.779495
14 SNU-61 BRAF 49.0 0.26504300000000003 0.175135
