n_profile Patient_ID Drug_ID Time Prosurvival_b1 Prosurvival_b2 Prosurvival_b3 Antisurvival_b1 Antisurvival_b2 Antisurvival_b3
0 SNU-1040 Zero 29.8 0.9735840000000001 0.960207 0.892136 0.9390290000000001 0.554277 0.119348
1 MMAc-SF Zero 29.9 0.9998 0.9994000000000001 0.9934170000000001 0.308437 0.005019 0.0
0 SNU-1040 BRAF 29.9 0.9708 0.9589489999999999 0.6408750000000001 0.9642509999999999 0.5948909999999998 0.14073000000000002
2 NCI-H716 Zero 29.8 0.9204970000000001 0.812609 0.7587520000000001 0.525382 0.041092000000000004 0.0046
0 SNU-1040 PI3K 29.8 0.9343559999999999 0.9067669999999999 0.001018 0.999599 0.6401290000000002 0.070648
1 MMAc-SF BRAF 29.9 1.0 0.9998 0.7635689999999999 0.326302 0.0078 0.0
2 NCI-H716 BRAF 29.9 0.913427 0.819309 0.6456459999999999 0.523601 0.040001 0.0038
0 SNU-1040 p53 29.8 0.9732000000000002 0.9613680000000001 0.8990340000000001 0.8923950000000003 0.4213639999999999 0.0018000000000000002
1 MMAc-SF PI3K 29.9 0.999 0.9972 0.001 0.436638 0.046064 0.0012
2 NCI-H716 PI3K 29.9 0.903401 0.806538 0.360613 0.6357520000000001 0.155085 0.020817
1 MMAc-SF p53 29.9 0.9997999999999999 0.9997999999999999 0.996261 0.289867 0.0042 0.0
0 SNU-1040 MEK 29.9 0.9750530000000002 0.9627840000000001 0.49641100000000005 0.9671970000000002 0.6081600000000001 0.14982099999999998
2 NCI-H716 p53 29.9 0.9237920000000002 0.8174630000000002 0.7534270000000001 0.22747299999999998 0.018413 0.0016
1 MMAc-SF MEK 29.9 0.9999999999999999 0.9994 0.047011 0.333792 0.006229 0.0
3 WM-115 Zero 29.9 0.966199 0.782564 0.292434 0.331047 0.105805 0.027847999999999998
2 NCI-H716 MEK 29.9 0.826434 0.8124589999999999 0.003419 0.5388769999999999 0.040778 0.0028
4 451Lu Zero 29.9 0.9996 0.9990000000000001 0.16847199999999998 0.4112309999999999 0.054313 0.0016
5 SW948 Zero 29.8 0.9963409999999999 0.8294569999999999 0.571202 0.42528499999999997 0.03588 0.0068000000000000005
3 WM-115 BRAF 29.9 0.965163 0.566625 0.14402199999999998 0.343208 0.10704499999999999 0.027472
4 451Lu BRAF 29.9 0.9989999999999999 0.9971999999999999 0.132086 0.41423499999999996 0.067023 0.0014
5 SW948 BRAF 29.8 0.9978009999999999 0.812259 0.44419699999999995 0.45325999999999994 0.074492 0.011922
3 WM-115 PI3K 29.9 0.922967 0.327706 0.0002 0.9986000000000002 0.598576 0.133447
4 451Lu PI3K 29.9 0.9986 0.9975999999999999 0.0 0.5350239999999999 0.084602 0.0022
5 SW948 PI3K 29.8 0.9959990000000001 0.8122539999999999 0.07315200000000001 0.838213 0.09473000000000002 0.018000000000000002
3 WM-115 p53 29.9 0.9710360000000001 0.7788960000000001 0.274051 0.22199899999999997 0.079293 0.006182
