n_profile Patient_ID Drug_ID Time Prosurvival_b1 Prosurvival_b2 Prosurvival_b3 Antisurvival_b1 Antisurvival_b2 Antisurvival_b3
1 SW48 Zero 29.8 1.0 1.0 1.0 0.0 0.0 0.0
0 LS-513 Zero 29.8 1.0 1.0 1.0 0.0002 0.0 0.0
2 HT-115 Zero 29.8 1.0 1.0 1.0 0.0002 0.0 0.0
1 SW48 BRAF 29.8 1.0 1.0 1.0 0.0 0.0 0.0
0 LS-513 BRAF 29.8 1.0 1.0 0.961316 0.034547 0.0 0.0
2 HT-115 BRAF 29.8 0.9999999999999999 0.9999999999999999 0.960846 0.037209 0.0 0.0
1 SW48 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
0 LS-513 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
2 HT-115 PI3K 29.8 1.0 1.0 0.0 1.0 0.0002 0.0
1 SW48 p53 29.8 1.0 1.0 1.0 0.0 0.0 0.0
0 LS-513 p53 29.8 1.0 1.0 1.0 0.0 0.0 0.0
2 HT-115 p53 29.8 1.0 1.0 1.0 0.0002 0.0 0.0
1 SW48 MEK 29.9 1.0 1.0 0.0006000000000000001 0.41862099999999997 0.0 0.0
0 LS-513 MEK 29.9 1.0 1.0 0.0 0.408517 0.0 0.0
2 HT-115 MEK 29.9 1.0 1.0 0.0 0.413469 0.0 0.0
3 G-361 Zero 29.8 1.0 1.0 0.9995999999999999 0.0004 0.0 0.0
4 SW620 Zero 29.8 1.0 1.0 1.0 0.0 0.0 0.0
5 CP67-MEL Zero 29.8 1.0 1.0 0.9995999999999999 0.0004 0.0 0.0
3 G-361 BRAF 29.8 1.0 1.0 0.9621890000000001 0.034913 0.0 0.0
4 SW620 BRAF 29.8 1.0000000000000002 1.0000000000000002 0.9819800000000001 0.020225 0.0 0.0
3 G-361 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
5 CP67-MEL BRAF 29.8 1.0 1.0 0.9621890000000001 0.034913 0.0 0.0
4 SW620 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
5 CP67-MEL PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
3 G-361 p53 29.8 1.0 1.0 0.9998 0.001 0.0 0.0
4 SW620 p53 29.8 1.0 1.0 1.0 0.0 0.0 0.0
5 CP67-MEL p53 29.8 1.0 1.0 0.9998 0.001 0.0 0.0
3 G-361 MEK 29.9 1.0 1.0 0.0012 0.41554399999999997 0.0 0.0
4 SW620 MEK 29.9 0.9999999999999999 0.9999999999999999 0.0004 0.429282 0.0 0.0
5 CP67-MEL MEK 29.9 1.0 1.0 0.0012 0.41554399999999997 0.0 0.0
6 UACC-257 Zero 29.8 1.0 1.0 0.9995999999999999 0.0004 0.0 0.0
7 CP66-MEL Zero 29.8 0.9999999999999999 0.9999999999999999 0.9995999999999999 0.0014 0.0 0.0
8 LS-180 Zero 29.8 1.0 1.0 1.0 0.0 0.0 0.0
6 UACC-257 BRAF 29.8 1.0 1.0 0.9621890000000001 0.034913 0.0 0.0
7 CP66-MEL BRAF 29.8 1.000001 1.000001 0.959647 0.033014 0.0 0.0
6 UACC-257 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
8 LS-180 BRAF 29.8 1.0 1.0 0.9582970000000001 0.03751 0.0 0.0
7 CP66-MEL PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
8 LS-180 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
6 UACC-257 p53 29.8 1.0 1.0 0.9998 0.001 0.0 0.0
7 CP66-MEL p53 29.8 1.0 1.0 1.0 0.001 0.0 0.0
8 LS-180 p53 29.8 1.0 1.0 1.0 0.0 0.0 0.0
6 UACC-257 MEK 29.9 1.0 1.0 0.0012 0.41554399999999997 0.0 0.0
7 CP66-MEL MEK 29.9 0.9999999999999999 0.9999999999999999 0.0014 0.419027 0.0 0.0
8 LS-180 MEK 29.9 1.0 1.0 0.0002 0.42808 0.0 0.0
9 HCT-116 Zero 29.8 1.0 1.0 1.0 0.0 0.0 0.0
10 VMRC-MELG Zero 29.8 1.0 1.0 0.9995999999999999 0.0004 0.0 0.0
11 HCC2998 Zero 29.8 1.0 1.0 1.0 0.0 0.0 0.0
9 HCT-116 BRAF 29.8 0.999999 0.999999 0.959215 0.032172 0.0 0.0
10 VMRC-MELG BRAF 29.8 1.0 1.0 0.9621890000000001 0.034913 0.0 0.0
11 HCC2998 BRAF 29.8 1.0 1.0 0.963138 0.03091 0.0 0.0
9 HCT-116 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
10 VMRC-MELG PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
11 HCC2998 PI3K 29.8 1.0 1.0 0.0 0.0 0.0 0.0
9 HCT-116 p53 29.8 1.0 1.0 1.0 0.0 0.0 0.0
11 HCC2998 p53 29.8 1.0 1.0 1.0 0.0 0.0 0.0
10 VMRC-MELG p53 29.8 1.0 1.0 0.9998 0.001 0.0 0.0
9 HCT-116 MEK 29.9 1.0 1.0 0.0 0.424333 0.0 0.0
11 HCC2998 MEK 29.9 1.0 1.0 0.0 0.470096 0.0 0.0
10 VMRC-MELG MEK 29.9 1.0 1.0 0.0012 0.41554399999999997 0.0 0.0
13 NCI-H747 Zero 29.8 1.0 1.0 1.0 0.0 0.0 0.0
12 SK-CO-1 Zero 29.8 1.0 1.0 1.0 0.0 0.0 0.0
14 RVH-421 Zero 29.8 1.0 1.0 0.9995999999999999 0.0004 0.0 0.0
13 NCI-H747 BRAF 29.8 1.0000000000000002 1.0000000000000002 0.9819800000000001 0.020225 0.0 0.0
12 SK-CO-1 BRAF 29.8 1.0 1.0 0.95939 0.039045 0.0 0.0
14 RVH-421 BRAF 29.8 1.0 1.0 0.9621890000000001 0.034913 0.0 0.0
13 NCI-H747 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
12 SK-CO-1 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
14 RVH-421 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
13 NCI-H747 p53 29.8 1.0 1.0 1.0 0.0 0.0 0.0
12 SK-CO-1 p53 29.8 1.0 1.0 1.0 0.0 0.0 0.0
14 RVH-421 p53 29.8 1.0 1.0 0.9998 0.001 0.0 0.0
13 NCI-H747 MEK 29.9 0.9999999999999999 0.9999999999999999 0.0004 0.429282 0.0 0.0
12 SK-CO-1 MEK 29.9 1.0 1.0 0.0004 0.423659 0.0 0.0
14 RVH-421 MEK 29.9 1.0 1.0 0.0012 0.41554399999999997 0.0 0.0
15 MZ2-MEL Zero 29.8 1.0 1.0 0.9994000000000001 0.0006 0.0 0.0
16 SNU-175 Zero 29.8 0.9999999999999999 0.9999999999999999 0.9995999999999999 0.0014 0.0 0.0
17 SK-MEL-30 Zero 29.8 1.0 1.0 0.9995999999999999 0.0004 0.0 0.0
15 MZ2-MEL BRAF 29.8 1.0 1.0 1.0 0.0016 0.0 0.0
16 SNU-175 BRAF 29.8 1.000001 1.000001 0.959647 0.033014 0.0 0.0
15 MZ2-MEL PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
17 SK-MEL-30 BRAF 29.8 1.0 1.0 0.9621890000000001 0.034913 0.0 0.0
16 SNU-175 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
17 SK-MEL-30 PI3K 29.8 1.0 1.0 0.0 1.0 0.0 0.0
15 MZ2-MEL p53 29.8 1.0 1.0 0.9996 0.0006360000000000001 0.0 0.0
