n_profile Patient_ID Drug_ID Time Prosurvival_b1 Prosurvival_b2 Prosurvival_b3 Antisurvival_b1 Antisurvival_b2 Antisurvival_b3
0 SW948 Zero 29.8 0.9970000000000001 0.826501 0.5721350000000001 0.419043 0.035074999999999995 0.0050620000000000005
0 SW948 BRAF 29.8 0.9978000000000001 0.8100350000000001 0.451275 0.4485629999999999 0.072067 0.012614999999999998
1 SK-MEL-3 Zero 29.9 0.429037 0.217946 0.073747 0.829926 0.38532500000000003 0.009691
0 SW948 PI3K 29.8 0.996732 0.815384 0.083191 0.826477 0.094939 0.01799
2 IPC-298 Zero 29.8 0.9106960000000001 0.864414 0.385765 0.6924400000000002 0.273139 0.031363999999999996
1 SK-MEL-3 BRAF 29.9 0.36867599999999995 0.221905 0.027327999999999998 0.9059900000000001 0.521742 0.022418
0 SW948 p53 29.8 0.996599 0.8268139999999998 0.560024 0.407828 0.028242 0.0002
2 IPC-298 BRAF 29.8 0.9079670000000001 0.8615240000000002 0.39759099999999997 0.6832180000000001 0.268198 0.0306
1 SK-MEL-3 PI3K 29.8 0.35299700000000006 0.22380799999999998 0.0 0.9798119999999999 0.5850219999999998 0.026288
0 SW948 MEK 29.9 0.9977850000000001 0.816814 0.09814400000000001 0.5071750000000002 0.134613 0.014508
2 IPC-298 PI3K 29.8 0.886647 0.851945 0.0002 0.961401 0.468304 0.054813
1 SK-MEL-3 p53 29.8 0.43499899999999997 0.22178 0.081011 0.80452 0.321773 0.007
3 MEL-HO Zero 29.8 0.9139889999999999 0.800275 0.18736199999999997 0.372301 0.057801 0.0012000000000000001
2 IPC-298 p53 29.8 0.912321 0.86093 0.381348 0.694471 0.25955399999999995 0.0014
1 SK-MEL-3 MEK 29.9 0.3597350000000001 0.225216 0.01726 0.9201199999999999 0.522185 0.025550999999999997
3 MEL-HO BRAF 29.8 0.9111680000000001 0.7976000000000001 0.06667 0.308051 0.04835800000000001 0.0008
2 IPC-298 MEK 29.9 0.8889870000000002 0.8525510000000002 0.107161 0.6601370000000001 0.276344 0.026951
4 RKO Zero 29.8 0.943035 0.8138169999999999 0.6429039999999999 0.8704169999999999 0.023108999999999998 0.001
3 MEL-HO PI3K 29.8 0.8901930000000001 0.7895770000000001 0.0 0.49167200000000005 0.08601800000000001 0.001
5 LS-411N Zero 29.8 1.0 0.9548 0.841857 0.921652 0.17606 0.010048
3 MEL-HO p53 29.8 0.917158 0.809543 0.17621900000000001 0.365727 0.054714 0.001
4 RKO BRAF 29.8 0.95785 0.8461749999999999 0.35126 0.9818889999999999 0.07194800000000001 0.0034
5 LS-411N BRAF 29.8 0.9999990000000002 0.9502400000000001 0.423266 0.9610700000000001 0.235429 0.033588
4 RKO PI3K 29.8 0.921082 0.722695 0.0 0.943601 0.057327 0.002
