n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 SNU-C1 Zero 49.0 0.722302 0.488712
0 SNU-C1 BRAF 49.0 0.676457 0.464959
0 SNU-C1 PI3K 49.0 0.6307050000000001 0.286657
1 MZ2-MEL Zero 49.0 0.054935 0.03217
0 SNU-C1 p53 49.0 0.882617 0.574261
1 MZ2-MEL BRAF 49.0 0.058384000000000005 0.033229
1 MZ2-MEL PI3K 49.0 0.002366 0.0
2 LIM1215 Zero 49.0 0.516065 0.206205
1 MZ2-MEL p53 49.5 0.180489 0.110275
2 LIM1215 BRAF 49.0 0.501944 0.216625
3 HT-29 Zero 49.0 0.217277 0.117071
2 LIM1215 PI3K 49.0 0.154179 0.062743
3 HT-29 BRAF 49.0 0.130057 0.096058
2 LIM1215 p53 49.0 0.71092 0.333897
3 HT-29 PI3K 49.0 0.395112 0.046416
4 ASH-3 Zero 49.0 0.169326 0.087345
4 ASH-3 BRAF 49.0 0.172566 0.098941
3 HT-29 p53 49.0 0.33385 0.183194
4 ASH-3 PI3K 49.0 0.039398 0.0
5 SK-MEL-1 Zero 49.0 0.243143 0.197909
4 ASH-3 p53 49.0 0.436131 0.262887
5 SK-MEL-1 BRAF 49.0 0.232844 0.186168
6 LOXIMVI Zero 49.0 0.18815700000000002 0.070759
5 SK-MEL-1 PI3K 49.0 0.236012 0.004793
6 LOXIMVI BRAF 49.0 0.168649 0.078042
5 SK-MEL-1 p53 49.0 0.380161 0.308817
6 LOXIMVI PI3K 49.0 0.151677 0.0
7 Hs-940-T Zero 49.0 0.144793 0.087786
7 Hs-940-T BRAF 49.0 0.145032 0.0844
6 LOXIMVI p53 49.0 0.375197 0.158938
7 Hs-940-T PI3K 49.0 0.035225 0.0
8 SK-MEL-28 Zero 49.0 0.047163 0.021534
7 Hs-940-T p53 49.0 0.219942 0.121788
8 SK-MEL-28 BRAF 49.0 0.041093 0.024439
8 SK-MEL-28 PI3K 49.0 0.022643 0.0
9 SK-MEL-5 Zero 49.0 0.07058 0.041053
8 SK-MEL-28 p53 49.0 0.11169300000000001 0.066584
9 SK-MEL-5 BRAF 49.0 0.068242 0.039378
9 SK-MEL-5 PI3K 49.0 0.026453 0.0
10 CCK-81 Zero 49.0 0.24682300000000001 0.089687
9 SK-MEL-5 p53 49.0 0.127264 0.068869
10 CCK-81 BRAF 49.0 0.178713 0.089649
11 M14 Zero 49.0 0.517388 0.204136
10 CCK-81 PI3K 49.0 0.175945 0.0
11 M14 BRAF 49.0 0.529831 0.20174
11 M14 PI3K 49.0 0.332062 0.0
10 CCK-81 p53 49.0 0.537962 0.260543
11 M14 p53 49.0 0.786529 0.71201
12 HT-144 Zero 49.0 0.40889200000000003 0.314458
12 HT-144 BRAF 49.0 0.423267 0.330754
12 HT-144 PI3K 49.0 0.069328 0.0
13 CL-34 Zero 49.0 0.20005099999999998 0.072057
12 HT-144 p53 49.0 0.67192 0.569128
13 CL-34 BRAF 49.0 0.15806599999999998 0.070421
14 KM12 Zero 49.0 0.106509 0.034789
14 KM12 BRAF 49.0 0.093995 0.040882
13 CL-34 PI3K 49.0 0.11499 0.0
14 KM12 PI3K 49.0 0.103776 0.0
13 CL-34 p53 49.0 0.376795 0.153449
14 KM12 p53 49.0 0.208213 0.076161
15 CP67-MEL Zero 49.5 0.727466 0.656844
15 CP67-MEL BRAF 49.5 0.701229 0.624171
16 IGR-1 Zero 49.0 0.146758 0.098299
15 CP67-MEL PI3K 49.5 0.457865 0.079224
16 IGR-1 BRAF 49.0 0.14538600000000002 0.105199
15 CP67-MEL p53 49.5 0.753814 0.696468
16 IGR-1 PI3K 49.0 0.066001 0.0
17 B-CPAP Zero 49.0 0.13831 0.005551
16 IGR-1 p53 49.0 0.1888 0.125418
17 B-CPAP BRAF 49.0 0.086354 0.008675
17 B-CPAP PI3K 49.0 0.153058 0.0
18 NCI-H747 Zero 49.0 0.195306 0.168333
17 B-CPAP p53 49.0 0.200705 0.012739
18 NCI-H747 BRAF 49.0 0.187385 0.158778
19 GP2d Zero 49.0 0.48993699999999996 0.279877
18 NCI-H747 PI3K 49.0 0.13397900000000001 0.006914
19 GP2d BRAF 49.0 0.40588599999999997 0.280391
18 NCI-H747 p53 49.0 0.486546 0.431805
19 GP2d PI3K 49.0 0.440033 0.0
20 NCI-H508 Zero 49.0 0.029559000000000002 0.000958
20 NCI-H508 BRAF 49.0 0.007307 0.000739
19 GP2d p53 49.0 0.8627180000000001 0.53656
20 NCI-H508 PI3K 49.0 0.031727 0.0
21 MEL-HO Zero 49.0 0.121252 0.063967
20 NCI-H508 p53 49.0 0.055767000000000004 0.0008
21 MEL-HO BRAF 49.0 0.119745 0.064389
21 MEL-HO PI3K 49.0 0.08989 0.0
22 SNU-283 Zero 49.0 0.597912 0.311251
21 MEL-HO p53 49.0 0.154558 0.105356
22 SNU-283 BRAF 49.0 0.580171 0.313976
23 MDST8 Zero 49.0 0.11405100000000001 0.034116
22 SNU-283 PI3K 49.0 0.545859 0.188386
23 MDST8 BRAF 49.0 0.08821999999999999 0.043692
22 SNU-283 p53 49.0 0.632787 0.327431
23 MDST8 PI3K 49.0 0.159833 0.0
24 WM-115 Zero 49.0 0.205536 0.145546
24 WM-115 BRAF 49.0 0.195531 0.147593
23 MDST8 p53 49.0 0.230739 0.077289
24 WM-115 PI3K 49.0 0.073871 0.0
25 LS-180 Zero 49.0 0.40163400000000005 0.128248
24 WM-115 p53 49.0 0.351802 0.260562
25 LS-180 BRAF 49.0 0.34796099999999996 0.120146
26 HCT-116 Zero 49.0 0.31232400000000005 0.206524
25 LS-180 PI3K 49.0 0.346096 0.107195
26 HCT-116 BRAF 49.0 0.29308 0.20617
26 HCT-116 PI3K 49.0 0.365342 0.0
25 LS-180 p53 49.0 0.5841430000000001 0.168439
26 HCT-116 p53 49.0 0.734797 0.502241
27 SNU-175 Zero 49.0 0.5331520000000001 0.339797
27 SNU-175 BRAF 49.0 0.46206 0.360482
27 SNU-175 PI3K 49.0 0.512476 0.100797
28 A2058 Zero 49.0 0.085688 0.035357
27 SNU-175 p53 49.0 0.9060159999999999 0.620053
28 A2058 BRAF 49.0 0.066923 0.033912
29 HCT-15 Zero 49.0 0.723539 0.541416
28 A2058 PI3K 49.0 0.036199 0.0
29 HCT-15 BRAF 49.0 0.6907490000000001 0.539725
28 A2058 p53 49.0 0.157965 0.06691
29 HCT-15 PI3K 49.0 0.501079 0.226902
29 HCT-15 p53 49.0 0.8632679999999999 0.643006
30 WT Zero 49.0 0.232423 0.132901
30 WT BRAF 49.0 0.212278 0.120707
31 T84 Zero 49.0 0.305355 0.1123
31 T84 BRAF 49.0 0.292093 0.104478
30 WT PI3K 49.0 0.139599 0.0
31 T84 PI3K 49.0 0.150632 0.0
31 T84 p53 49.0 0.423173 0.153259
30 WT p53 49.0 0.479021 0.278429
