n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 WM1552C Zero 49.0 1.0 0.5006
1 CL-40 Zero 49.0 1.0 0.5034
1 CL-40 BRAF 49.0 0.5162 0.5162
1 CL-40 PI3K 49.0 1.0 0.0
0 WM1552C BRAF 49.0 0.45627400000000007 0.284635
1 CL-40 p53 49.0 1.0 0.4968
0 WM1552C PI3K 49.0 1.0 0.0
2 HT55 Zero 49.0 0.506 0.2584
0 WM1552C p53 49.0 1.0 0.5098
3 SW1417 Zero 49.0 0.5024000000000001 0.2466
2 HT55 BRAF 49.0 0.21681 0.130021
2 HT55 PI3K 49.0 0.4996 0.0
3 SW1417 BRAF 49.0 0.220855 0.135426
2 HT55 p53 49.0 1.0 0.4958
3 SW1417 PI3K 49.0 0.4974 0.0
4 WM278 Zero 49.0 0.5 0.2426
3 SW1417 p53 49.0 1.0 0.5064
5 HCT-116 Zero 49.0 1.0 1.0
5 HCT-116 BRAF 49.0 1.0 1.0
4 WM278 BRAF 49.0 0.229845 0.139479
5 HCT-116 PI3K 49.0 0.497 0.0
4 WM278 PI3K 49.0 0.485 0.0
5 HCT-116 p53 49.0 1.0 1.0
4 WM278 p53 49.0 1.0 0.4936
6 COLO-679 Zero 49.0 0.5025999999999999 0.2566
7 RKO Zero 49.0 1.0 1.0
7 RKO BRAF 49.0 0.49947 0.364634
6 COLO-679 BRAF 49.0 0.221424 0.137897
6 COLO-679 PI3K 49.0 0.5074 0.0
7 RKO PI3K 49.0 0.4958 0.0
7 RKO p53 49.0 1.0 1.0
6 COLO-679 p53 49.0 1.0 0.5122
8 SK-MEL-30 Zero 49.0 0.5022 0.2478
9 MMAc-SF Zero 49.0 0.49060000000000004 0.2424
8 SK-MEL-30 BRAF 49.0 0.261 0.261
8 SK-MEL-30 PI3K 49.0 0.5076 0.0
9 MMAc-SF BRAF 49.0 0.227471 0.138991
8 SK-MEL-30 p53 49.0 1.0 0.5094
9 MMAc-SF PI3K 49.0 0.5018 0.0
10 A2058 Zero 49.0 1.0 0.5072
9 MMAc-SF p53 49.0 1.0 0.5158
10 A2058 BRAF 49.0 0.4926 0.4926
11 COLO-678 Zero 49.0 0.5014 0.2432
10 A2058 PI3K 49.0 1.0 0.0
11 COLO-678 BRAF 49.0 0.2548 0.2548
10 A2058 p53 49.0 1.0 0.5072
11 COLO-678 PI3K 49.0 0.503 0.0
12 SNU-407 Zero 49.0 1.0 1.0
11 COLO-678 p53 49.0 1.0 0.4922
12 SNU-407 BRAF 49.0 1.0 1.0
13 MEL-HO Zero 49.0 0.5 0.2528
12 SNU-407 PI3K 49.0 0.489 0.0
12 SNU-407 p53 49.0 1.0 1.0
13 MEL-HO BRAF 49.0 0.219853 0.131459
13 MEL-HO PI3K 49.0 0.4936 0.0
13 MEL-HO p53 49.0 1.0 0.4902
14 COLO-320-HSR Zero 49.0 0.468066 0.275901
15 MZ7-mel Zero 49.0 0.4992 0.25
14 COLO-320-HSR BRAF 49.0 0.439399 0.264024
15 MZ7-mel BRAF 49.0 0.230044 0.139325
15 MZ7-mel PI3K 49.0 0.498 0.0
14 COLO-320-HSR PI3K 49.0 0.28991 0.0
15 MZ7-mel p53 49.0 1.0 0.5018
16 SW837 Zero 49.0 1.0 0.5074
16 SW837 BRAF 49.0 0.4984 0.4984
14 COLO-320-HSR p53 49.0 0.469789 0.26927
16 SW837 PI3K 49.0 1.0 0.0
16 SW837 p53 49.0 1.0 0.501
17 C2BBe1 Zero 49.0 0.223029 0.124168
18 RVH-421 Zero 49.0 0.49460000000000004 0.2514
17 C2BBe1 BRAF 49.0 0.22826400000000002 0.139223
18 RVH-421 BRAF 49.0 0.23254599999999997 0.13823
18 RVH-421 PI3K 49.0 0.4932 0.0
18 RVH-421 p53 49.0 1.0 0.5052
17 C2BBe1 PI3K 49.0 0.144141 0.0
19 SK-MEL-31 Zero 49.0 0.4992 0.2482
17 C2BBe1 p53 49.0 0.47717600000000004 0.276554
19 SK-MEL-31 BRAF 49.0 0.234452 0.142971
20 ASH-3 Zero 49.0 1.0 0.4944
19 SK-MEL-31 PI3K 49.0 0.4972 0.0
20 ASH-3 BRAF 49.0 0.503 0.503
19 SK-MEL-31 p53 49.0 1.0 0.4934
20 ASH-3 PI3K 49.0 1.0 0.0
21 B-CPAP Zero 49.0 0.494 0.2476
20 ASH-3 p53 49.0 1.0 0.4914
22 CL-34 Zero 49.0 0.4992 0.2486
21 B-CPAP BRAF 49.0 0.21476 0.126785
21 B-CPAP PI3K 49.0 0.504 0.0
22 CL-34 BRAF 49.0 0.227326 0.134665
21 B-CPAP p53 49.0 1.0 0.4866
22 CL-34 PI3K 49.0 0.491 0.0
23 COLO-800 Zero 49.0 1.0 0.5188
22 CL-34 p53 49.0 1.0 0.5094
24 IST-MEL1 Zero 49.0 1.0 0.4932
23 COLO-800 BRAF 49.0 0.45722699999999994 0.275869
23 COLO-800 PI3K 49.0 1.0 0.0
24 IST-MEL1 BRAF 49.0 0.448163 0.272433
23 COLO-800 p53 49.0 1.0 0.4996
24 IST-MEL1 PI3K 49.0 1.0 0.0
25 IPC-298 Zero 49.0 0.49560000000000004 0.2432
24 IST-MEL1 p53 49.0 1.0 0.5
25 IPC-298 BRAF 49.0 0.2484 0.2484
26 WM35 Zero 49.0 0.5004 0.2574
25 IPC-298 PI3K 49.0 0.4958 0.0
25 IPC-298 p53 49.0 1.0 0.5076
26 WM35 BRAF 49.0 0.230183 0.136348
27 SW1116 Zero 49.0 0.49219999999999997 0.238
26 WM35 PI3K 49.0 0.499 0.0
27 SW1116 BRAF 49.0 0.2288 0.2288
26 WM35 p53 49.0 1.0 0.4796
27 SW1116 PI3K 49.0 0.5124 0.0
28 SNU-C1 Zero 49.0 0.2466 0.2466
27 SW1116 p53 49.0 1.0 0.5038
28 SNU-C1 BRAF 49.0 0.247 0.247
29 UACC-257 Zero 49.0 0.5085999999999999 0.254
28 SNU-C1 PI3K 49.0 0.0 0.0
28 SNU-C1 p53 49.0 0.4902 0.4902
29 UACC-257 BRAF 49.0 0.224675 0.138881
30 SNU-81 Zero 49.0 0.75 0.504
29 UACC-257 PI3K 49.0 0.491 0.0
30 SNU-81 BRAF 49.0 0.4994 0.4994
29 UACC-257 p53 49.0 1.0 0.4888
30 SNU-81 PI3K 49.0 0.4972 0.0
31 HT-29 Zero 49.0 1.0 1.0
30 SNU-81 p53 49.0 1.0 0.5018
32 K5 Zero 49.0 1.0 1.0
