n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2
0 MZ7-mel Zero 49.0 0.676132 0.203037
0 MZ7-mel BRAF 49.0 0.209685 0.087155
1 WT Zero 49.0 0.247516 0.145203
0 MZ7-mel PI3K 49.0 0.608726 0.01244
0 MZ7-mel p53 49.0 1.0 0.660403
1 WT BRAF 49.0 0.226986 0.13287
2 LB373-MEL-D Zero 49.0 0.745599 0.398233
2 LB373-MEL-D BRAF 49.0 0.7356769999999999 0.392468
1 WT PI3K 49.0 0.143489 0.0
2 LB373-MEL-D PI3K 49.0 0.487448 0.012909
2 LB373-MEL-D p53 49.0 0.988936 0.750359
1 WT p53 49.0 0.451028 0.256926
3 SNU-407 Zero 49.0 0.9672360000000001 0.944436
3 SNU-407 BRAF 49.0 0.9720519999999999 0.950062
4 HT55 Zero 49.0 0.752408 0.286707
3 SNU-407 PI3K 49.0 0.519684 0.0
4 HT55 BRAF 49.0 0.6256090000000001 0.251045
3 SNU-407 p53 49.0 0.984987 0.951772
4 HT55 PI3K 49.0 0.741899 0.169976
5 MEL-HO Zero 49.0 0.802836 0.447096
4 HT55 p53 49.0 1.0 0.340644
5 MEL-HO BRAF 49.0 0.118911 0.062371
5 MEL-HO PI3K 49.0 0.720181 0.0
6 NCI-H508 Zero 49.0 0.8664229999999999 0.217973
5 MEL-HO p53 49.0 1.0 0.707164
6 NCI-H508 BRAF 49.0 0.014055999999999999 0.002149
7 COLO-800 Zero 49.0 1.0 0.492148
6 NCI-H508 PI3K 49.0 0.86086 0.0
6 NCI-H508 p53 49.0 0.868484 0.216179
7 COLO-800 BRAF 49.0 0.0854 0.055839
7 COLO-800 PI3K 49.0 1.0 0.0
8 SNU-81 Zero 49.0 0.968222 0.822528
7 COLO-800 p53 49.0 1.0 0.493989
8 SNU-81 BRAF 49.0 0.9576199999999999 0.814641
8 SNU-81 PI3K 49.0 0.671635 0.230077
9 CL-34 Zero 49.0 0.5634 0.198155
8 SNU-81 p53 49.0 1.0 0.806647
9 CL-34 BRAF 49.0 0.165456 0.076618
10 SK-MEL-3 Zero 49.0 0.5967039999999999 0.263414
9 CL-34 PI3K 49.0 0.5688 0.0
10 SK-MEL-3 BRAF 49.0 0.154013 0.062942
9 CL-34 p53 49.0 1.0 0.439649
10 SK-MEL-3 PI3K 49.0 0.566679 0.0
11 COLO-829 Zero 49.0 0.725866 0.64807
10 SK-MEL-3 p53 49.0 1.0 0.668558
11 COLO-829 BRAF 49.0 0.02907 0.01578
11 COLO-829 PI3K 49.0 0.378143 0.0
12 RCM-1 Zero 49.0 0.614401 0.150496
11 COLO-829 p53 49.0 0.967353 0.889576
12 RCM-1 BRAF 49.0 0.487417 0.165811
12 RCM-1 PI3K 49.0 0.669873 0.0
13 TT Zero 49.0 0.124471 0.041967
12 RCM-1 p53 49.0 0.899537 0.238739
13 TT BRAF 49.0 0.12082099999999998 0.043646
14 GP5d Zero 49.0 1.0 0.754034
13 TT PI3K 49.0 0.27561199999999997 0.0002
14 GP5d BRAF 49.0 1.0 0.745146
13 TT p53 49.0 0.222286 0.068999
14 GP5d PI3K 49.0 0.613011 0.092307
15 HT-29 Zero 49.0 1.0 0.886516
14 GP5d p53 49.0 1.0 0.752154
15 HT-29 BRAF 49.0 0.194304 0.160363
16 SK-MEL-28 Zero 49.0 1.0 0.454945
15 HT-29 PI3K 49.0 1.0 0.248418
15 HT-29 p53 49.0 1.0 0.890363
16 SK-MEL-28 BRAF 49.0 0.105632 0.071276
16 SK-MEL-28 PI3K 49.0 1.0 0.0
17 SNU-C1 Zero 49.0 0.81232 0.582102
16 SK-MEL-28 p53 49.0 1.0 0.452776
17 SNU-C1 BRAF 49.0 0.8136019999999999 0.579772
17 SNU-C1 PI3K 49.0 0.581859 0.34906
18 MEL-JUSO Zero 49.0 0.600941 0.413141
17 SNU-C1 p53 49.0 0.981654 0.679823
18 MEL-JUSO BRAF 49.0 0.447079 0.395759
18 MEL-JUSO PI3K 49.0 0.519328 0.0
18 MEL-JUSO p53 49.0 0.930069 0.625799
19 CW-2 Zero 49.5 0.141799 0.042507
20 COLO-679 Zero 49.0 0.55644 0.354487
19 CW-2 BRAF 49.5 0.11302899999999999 0.047815
20 COLO-679 BRAF 49.0 0.064762 0.035285
20 COLO-679 PI3K 49.0 0.41058 0.0
19 CW-2 PI3K 49.5 0.092568 0.0
20 COLO-679 p53 49.0 1.0 0.615224
19 CW-2 p53 49.5 0.234779 0.097213
21 Hs-939-T Zero 49.0 0.797632 0.472692
21 Hs-939-T BRAF 49.0 0.162561 0.074075
21 Hs-939-T PI3K 49.0 0.661013 0.0
21 Hs-939-T p53 49.0 0.99505 0.818481
22 CCK-81 Zero 49.0 0.578538 0.467682
23 COLO-320-HSR Zero 49.0 0.638284 0.382744
22 CCK-81 BRAF 49.0 0.592329 0.484583
23 COLO-320-HSR BRAF 49.0 0.630466 0.380255
23 COLO-320-HSR PI3K 49.0 0.642493 0.0
22 CCK-81 PI3K 49.0 0.189748 0.0
23 COLO-320-HSR p53 49.0 0.6293880000000001 0.389544
24 COLO-205 Zero 49.0 0.44848 0.179579
22 CCK-81 p53 49.0 0.585669 0.47926
24 COLO-205 BRAF 49.0 0.034121 0.012897
24 COLO-205 PI3K 49.0 0.44879 0.15448
25 UACC-257 Zero 49.0 0.6304690000000001 0.185312
24 COLO-205 p53 49.0 1.0 0.282306
25 UACC-257 BRAF 49.0 0.034184 0.014331
26 RVH-421 Zero 49.0 0.60695 0.359552
25 UACC-257 PI3K 49.0 0.592094 0.0
25 UACC-257 p53 49.0 1.0 0.31358
26 RVH-421 BRAF 49.0 0.15787299999999999 0.084927
26 RVH-421 PI3K 49.0 0.532277 0.0
27 B-CPAP Zero 49.0 0.583549 0.025321
26 RVH-421 p53 49.0 0.999 0.960972
27 B-CPAP BRAF 49.0 0.081678 0.01189
27 B-CPAP PI3K 49.0 0.604674 0.0
28 KM12 Zero 49.0 0.211646 0.08078
27 B-CPAP p53 49.0 0.993958 0.049733
28 KM12 BRAF 49.0 0.191948 0.074574
28 KM12 PI3K 49.0 0.195249 0.0
29 FTC-133 Zero 49.0 0.35392100000000004 0.07979
29 FTC-133 BRAF 49.0 0.304981 0.084838
28 KM12 p53 49.0 0.19989200000000001 0.07695
29 FTC-133 PI3K 49.0 0.342588 0.0
30 SW948 Zero 49.0 0.998381 0.528841
29 FTC-133 p53 49.0 0.350586 0.084542
30 SW948 BRAF 49.0 0.9966 0.539926
30 SW948 PI3K 49.0 0.663524 0.008802
31 WM793B Zero 49.0 0.480274 0.216215
30 SW948 p53 49.0 0.9996 0.527918
31 WM793B BRAF 49.0 0.162433 0.10297
31 WM793B PI3K 49.0 0.41738000000000003 0.013166
31 WM793B p53 49.0 0.809793 0.34843
32 TT2609-C02 Zero 49.0 0.998741 0.550844
32 TT2609-C02 BRAF 49.0 0.7109070000000001 0.52441
32 TT2609-C02 PI3K 49.0 1.0 0.0
33 SK-MEL-24 Zero 49.0 0.834058 0.673215
32 TT2609-C02 p53 49.0 0.999592 0.531276
33 SK-MEL-24 BRAF 49.0 0.044631 0.030361
33 SK-MEL-24 PI3K 49.0 0.6628 0.0
33 SK-MEL-24 p53 49.0 1.0 0.781331
34 SW48 Zero 49.0 0.99321 0.936713
34 SW48 BRAF 49.0 0.993804 0.93333
35 RKO Zero 49.0 1.0 0.999525
34 SW48 PI3K 49.0 0.137344 0.012162
34 SW48 p53 49.0 0.9945999999999999 0.934252
35 RKO BRAF 49.0 0.33058699999999996 0.293799
36 C32 Zero 49.0 0.87056 0.587913
35 RKO PI3K 49.0 0.545808 0.0
35 RKO p53 49.0 1.0 1.0
36 C32 BRAF 49.0 0.331214 0.225897
36 C32 PI3K 49.0 0.72162 0.0
37 SNU-C5 Zero 49.0 0.9972000000000001 0.89997
36 C32 p53 49.0 0.992515 0.70864
37 SNU-C5 BRAF 49.0 0.821 0.718698
38 WM35 Zero 49.0 0.497394 0.337591
37 SNU-C5 PI3K 49.0 0.996104 0.014881
38 WM35 BRAF 49.0 0.180233 0.122747
37 SNU-C5 p53 49.0 0.9984 0.905279
38 WM35 PI3K 49.0 0.486274 0.0
39 HTC-C3 Zero 49.0 1.0 0.413058
38 WM35 p53 49.0 1.0 0.944908
39 HTC-C3 BRAF 49.0 0.7051970000000001 0.310111
40 COLO-792 Zero 49.0 0.172543 0.094772
39 HTC-C3 PI3K 49.0 1.0 0.0
40 COLO-792 BRAF 49.0 0.169107 0.098542
39 HTC-C3 p53 49.0 1.0 0.421011
40 COLO-792 PI3K 49.0 0.116093 0.0
40 COLO-792 p53 49.0 0.18600899999999998 0.099313
41 SNU-175 Zero 49.0 0.5420929999999999 0.352529
42 LS1034 Zero 49.0 0.984495 0.220766
41 SNU-175 BRAF 49.0 0.45314600000000005 0.352571
42 LS1034 BRAF 49.0 0.5136069999999999 0.222678
41 SNU-175 PI3K 49.0 0.519891 0.102348
42 LS1034 PI3K 49.0 0.978138 0.073394
41 SNU-175 p53 49.0 0.9091579999999999 0.614239
42 LS1034 p53 49.0 0.984615 0.215287
43 HCC2998 Zero 49.0 0.974598 0.957588
43 HCC2998 BRAF 49.0 0.974482 0.952672
43 HCC2998 PI3K 49.0 0.65147 0.380898
44 A2058 Zero 49.0 1.0 0.33934
43 HCC2998 p53 49.0 1.0 0.951647
44 A2058 BRAF 49.0 0.549258 0.344696
45 WM1552C Zero 49.0 0.917376 0.694209
44 A2058 PI3K 49.0 1.0 0.0
44 A2058 p53 49.0 1.0 0.33304
45 WM1552C BRAF 49.0 0.30878799999999995 0.28539
45 WM1552C PI3K 49.0 0.918383 0.0
46 SNU-C2B Zero 49.0 1.0 0.850125
45 WM1552C p53 49.0 0.916902 0.696846
46 SNU-C2B BRAF 49.0 0.912066 0.852402
46 SNU-C2B PI3K 49.0 0.999675 0.36859
47 HT-115 Zero 49.0 0.847786 0.793088
46 SNU-C2B p53 49.0 0.9998 0.846967
47 HT-115 BRAF 49.0 0.858032 0.802855
48 LOXIMVI Zero 49.0 0.494711 0.149941
47 HT-115 PI3K 49.0 0.566093 0.354581
48 LOXIMVI BRAF 49.0 0.174568 0.079311
47 HT-115 p53 49.0 0.842018 0.781421
48 LOXIMVI PI3K 49.0 0.472111 0.0
49 A101D Zero 49.0 0.6481199999999999 0.517461
48 LOXIMVI p53 49.0 0.9956 0.295271
49 A101D BRAF 49.0 0.19530999999999998 0.130298
50 CP67-MEL Zero 49.0 0.9261649999999999 0.884438
49 A101D PI3K 49.0 0.489312 0.0
50 CP67-MEL BRAF 49.5 0.696365 0.621334
49 A101D p53 49.0 1.0 0.790332
50 CP67-MEL PI3K 49.0 0.630968 0.112426
51 T84 Zero 49.0 0.980896 0.545224
50 CP67-MEL p53 49.0 0.954968 0.933639
51 T84 BRAF 49.0 0.9835849999999999 0.555971
51 T84 PI3K 49.0 0.612243 0.0
52 CP66-MEL Zero 49.0 0.412113 0.33825
51 T84 p53 49.0 0.9994000000000001 0.550177
52 CP66-MEL BRAF 49.0 0.395223 0.329339
52 CP66-MEL PI3K 49.0 0.371241 0.011
53 SNU-1040 Zero 49.5 0.873622 0.723882
52 CP66-MEL p53 49.0 0.980391 0.818971
53 SNU-1040 BRAF 49.5 0.869625 0.727862
54 LB2518-MEL Zero 49.0 0.594912 0.260532
54 LB2518-MEL BRAF 49.0 0.5884320000000001 0.26556
53 SNU-1040 PI3K 49.5 0.560727 0.0
54 LB2518-MEL PI3K 49.0 0.306122 0.061056
53 SNU-1040 p53 49.5 0.868155 0.732985
54 LB2518-MEL p53 49.0 0.9863109999999999 0.458637
55 Hs-940-T Zero 49.0 0.625572 0.172975
55 Hs-940-T BRAF 49.0 0.247363 0.172428
55 Hs-940-T PI3K 49.0 0.605116 0.0
56 G-361 Zero 49.0 0.5713239999999999 0.472416
55 Hs-940-T p53 49.0 0.850109 0.224322
56 G-361 BRAF 49.0 0.44458800000000004 0.37103
57 K5 Zero 49.0 1.0 0.898493
56 G-361 PI3K 49.0 0.420895 0.0
56 G-361 p53 49.0 1.0 0.852094
57 K5 BRAF 49.0 0.507835 0.406772
58 CHL-1 Zero 49.5 0.847026 0.792523
57 K5 PI3K 49.0 0.401695 0.0
57 K5 p53 49.0 1.0 0.87542
58 CHL-1 BRAF 49.5 0.8428289999999999 0.797372
59 WM278 Zero 49.0 0.334082 0.293885
58 CHL-1 PI3K 49.5 0.811745 0.0
59 WM278 BRAF 49.5 0.04928199999999999 0.031997
58 CHL-1 p53 49.5 0.839459 0.789693
59 WM278 PI3K 49.0 0.320657 0.0
60 CP50-MEL-B Zero 49.0 0.714684 0.143749
59 WM278 p53 49.0 1.0 0.933694
60 CP50-MEL-B BRAF 49.0 0.218627 0.056109
61 G-MEL Zero 49.0 0.981107 0.226251
60 CP50-MEL-B PI3K 49.0 0.602459 0.007
61 G-MEL BRAF 49.5 0.023898 0.007635
60 CP50-MEL-B p53 49.0 0.9998 0.484998
61 G-MEL PI3K 49.0 0.9782 0.0
61 G-MEL p53 49.0 0.9968 0.240853
62 COLO-783 Zero 49.0 0.778149 0.449195
62 COLO-783 BRAF 49.0 0.582148 0.319084
63 MDST8 Zero 49.0 0.472602 0.179533
62 COLO-783 PI3K 49.0 0.686215 0.0
62 COLO-783 p53 49.0 1.0 0.947134
63 MDST8 BRAF 49.0 0.077317 0.038415
63 MDST8 PI3K 49.0 0.457738 0.0
64 RPMI-7951 Zero 49.0 0.784534 0.356633
63 MDST8 p53 49.0 0.992672 0.396696
64 RPMI-7951 BRAF 49.0 0.216296 0.160878
65 IPC-298 Zero 49.0 0.843061 0.579429
64 RPMI-7951 PI3K 49.0 0.680104 0.0
65 IPC-298 BRAF 49.0 0.705987 0.564844
64 RPMI-7951 p53 49.0 1.0 0.370886
65 IPC-298 PI3K 49.0 0.811961 0.0
65 IPC-298 p53 49.0 0.994722 0.798065
66 SW1463 Zero 49.0 0.980667 0.588974
66 SW1463 BRAF 49.0 0.9138660000000001 0.576117
67 C2BBe1 Zero 49.0 0.861046 0.55333
66 SW1463 PI3K 49.0 0.9864569999999999 0.158133
67 C2BBe1 BRAF 49.5 0.85728 0.561608
